Sample Name	Duplication Rate	Reads Passed	Total	Q20 Bases	Q30 Bases
22_mock_A_S4_L003_R2_001.html	49.060713%	51.163548 M (98.895494%)	51.734964 M 25.783250 M	7.515473 G (96.204466%)	7.199905 G (92.164918%)
22_mock_B_S5_L003_R2_001.html	56.975099%	79.385860 M (98.748612%)	80.391874 M 33.588960 M	11.716200 G (96.515634%)	11.207993 G (92.329134%)
22_mock_C_S6_L003_R2_001.html	61.960065%	34.649698 M (98.556080%)	35.157342 M 12.867814 M	5.103012 G (96.124389%)	4.803852 G (90.489183%)
22_WNV_A_S1_L003_R2_001.html	52.015421%	121.943046 M (98.848460%)	123.363628 M 57.779318 M	17.970201 G (96.469237%)	17.220444 G (92.444326%)
22_WNV_B_S2_L003_R2_001.html	51.651897%	129.345838 M (98.813858%)	130.898480 M 61.739268 M	19.073349 G (96.497355%)	18.288464 G (92.526405%)
22_WNV_C_S3_L003_R2_001.html	57.781706%	145.962426 M (98.799289%)	147.736312 M 60.604490 M	21.602470 G (96.836529%)	20.761758 G (93.067902%)
26_mock_A_S10_L003_R2_001.html	59.644599%	95.735106 M (98.939170%)	96.761582 M 38.030396 M	14.245860 G (97.500931%)	13.726578 G (93.946882%)
26_mock_B_S11_L003_R2_001.html	64.929329%	72.779026 M (98.742606%)	73.705798 M 24.928062 M	10.786241 G (96.915112%)	10.303380 G (92.576573%)
26_mock_C_S12_L003_R2_001.html	61.357381%	34.760022 M (98.491288%)	35.292484 M 13.106358 M	5.028713 G (94.362115%)	4.634965 G (86.973574%)
26_WNV_A_S7_L003_R2_001.html	56.072699%	126.489670 M (98.886415%)	127.914102 M 54.776458 M	18.872579 G (97.709293%)	18.247294 G (94.471998%)
26_WNV_B_S8_L003_R2_001.html	63.900392%	46.666648 M (98.569393%)	47.343954 M 16.415036 M	6.845607 G (95.756996%)	6.430765 G (89.954135%)
26_WNV_C_S9_L003_R2_001.html	55.017804%	59.402064 M (99.098786%)	59.942272 M 26.424878 M	8.814954 G (97.389000%)	8.500122 G (93.910684%)
30_mock_A_S16_L003_R2_001.html	60.285571%	46.814382 M (98.767107%)	47.398758 M 18.241270 M	6.923719 G (96.737643%)	6.604613 G (92.279127%)
30_mock_B_S17_L003_R2_001.html	63.330425%	73.867248 M (98.825901%)	74.744826 M 26.532744 M	10.897372 G (96.552537%)	10.381156 G (91.978776%)
30_mock_C_S18_L003_R2_001.html	60.948900%	136.832816 M (98.930565%)	138.311972 M 52.538956 M	20.257810 G (96.996437%)	19.438076 G (93.071467%)
30_WNV_A_S13_L003_R2_001.html	56.932925%	121.703246 M (98.709050%)	123.294922 M 51.514568 M	17.938248 G (96.351371%)	17.099382 G (91.845585%)
30_WNV_B_S14_L003_R2_001.html	52.438069%	52.131712 M (99.001825%)	52.657324 M 24.520140 M	7.689093 G (96.702874%)	7.378380 G (92.795151%)
30_WNV_C_S15_L003_R2_001.html	57.558772%	82.867152 M (98.953077%)	83.743886 M 34.667084 M	12.253836 G (96.904065%)	11.755406 G (92.962454%)
