Sample	CulexT_KNWR	WNV_OZ20175	WNV_KJ501492	WNV_MZ605381	WNV_NC_001563	viralProj_30293	Multiple Genomes	No hits
DeDupTrimmed.22_WNV_A_S1_L003_R1_001_screen	15543908.0	267.0	57.0	27.0	16.0	0.0	9578173.0	3767211.0
DeDupTrimmed.22_WNV_A_S1_L003_R2_001_screen	15592857.0	268.0	47.0	38.0	27.0	1.0	9543655.0	3752766.0
DeDupTrimmed.22_WNV_B_S2_L003_R1_001_screen	17531334.0	319.0	74.0	28.0	27.0	1.0	11186238.0	2151613.0
DeDupTrimmed.22_WNV_B_S2_L003_R2_001_screen	17579242.0	303.0	63.0	24.0	18.0	2.0	11141456.0	2148526.0
DeDupTrimmed.22_WNV_C_S3_L003_R1_001_screen	14422531.0	448.0	72.0	26.0	23.0	3.0	13567081.0	2312061.0
DeDupTrimmed.22_WNV_C_S3_L003_R2_001_screen	14491366.0	419.0	93.0	37.0	24.0	2.0	13504304.0	2306000.0
DeDupTrimmed.22_mock_A_S4_L003_R1_001_screen	10748179.0	3.0	0.0	0.0	0.0	0.0	94964.0	2048479.0
DeDupTrimmed.22_mock_A_S4_L003_R2_001_screen	10757291.0	0.0	1.0	0.0	0.0	0.0	94878.0	2039455.0
DeDupTrimmed.22_mock_B_S5_L003_R1_001_screen	8544460.0	2.0	1.0	0.0	0.0	0.0	30799.0	8219218.0
DeDupTrimmed.22_mock_B_S5_L003_R2_001_screen	8620001.0	1.0	0.0	0.0	0.0	0.0	30835.0	8143643.0
DeDupTrimmed.22_mock_C_S6_L003_R1_001_screen	1952655.0	1.0	0.0	0.0	0.0	0.0	27701.0	4453550.0
DeDupTrimmed.22_mock_C_S6_L003_R2_001_screen	1988018.0	0.0	0.0	0.0	0.0	0.0	27726.0	4418163.0
DeDupTrimmed.26_WNV_A_S7_L003_R1_001_screen	5292452.0	446.0	103.0	36.0	34.0	6.0	14201865.0	7893287.0
DeDupTrimmed.26_WNV_A_S7_L003_R2_001_screen	5440433.0	441.0	81.0	39.0	24.0	5.0	14138822.0	7808384.0
DeDupTrimmed.26_WNV_B_S8_L003_R1_001_screen	2841052.0	333.0	8.0	29.0	8.0	0.0	3019559.0	2346529.0
DeDupTrimmed.26_WNV_B_S8_L003_R2_001_screen	2864298.0	258.0	43.0	34.0	8.0	1.0	3004555.0	2338321.0
DeDupTrimmed.26_WNV_C_S9_L003_R1_001_screen	3022150.0	228.0	51.0	14.0	17.0	0.0	8395730.0	1794249.0
DeDupTrimmed.26_WNV_C_S9_L003_R2_001_screen	3060671.0	252.0	50.0	20.0	28.0	2.0	8357167.0	1794249.0
DeDupTrimmed.26_mock_A_S10_L003_R1_001_screen	10241343.0	5.0	1.0	0.0	0.0	0.0	102919.0	8670930.0
DeDupTrimmed.26_mock_A_S10_L003_R2_001_screen	10331519.0	2.0	0.0	1.0	0.0	0.0	104019.0	8579657.0
DeDupTrimmed.26_mock_B_S11_L003_R1_001_screen	7111335.0	0.0	0.0	0.0	0.0	0.0	33048.0	5319648.0
DeDupTrimmed.26_mock_B_S11_L003_R2_001_screen	7188467.0	1.0	0.0	1.0	0.0	0.0	33191.0	5242371.0
DeDupTrimmed.26_mock_C_S12_L003_R1_001_screen	2826260.0	3.0	1.0	0.0	0.0	0.0	51237.0	3675678.0
DeDupTrimmed.26_mock_C_S12_L003_R2_001_screen	2837820.0	2.0	0.0	0.0	0.0	0.0	50820.0	3664537.0
DeDupTrimmed.30_WNV_A_S13_L003_R1_001_screen	18896713.0	65.0	15.0	1.0	3.0	2.0	2167508.0	4692977.0
DeDupTrimmed.30_WNV_A_S13_L003_R2_001_screen	18953846.0	55.0	11.0	4.0	3.0	0.0	2159327.0	4644038.0
DeDupTrimmed.30_WNV_B_S14_L003_R1_001_screen	7602563.0	87.0	24.0	8.0	11.0	0.0	3701092.0	956285.0
DeDupTrimmed.30_WNV_B_S14_L003_R2_001_screen	7614531.0	95.0	18.0	7.0	10.0	0.0	3685446.0	959963.0
DeDupTrimmed.30_WNV_C_S15_L003_R1_001_screen	11539888.0	111.0	34.0	4.0	8.0	1.0	4193611.0	1599885.0
DeDupTrimmed.30_WNV_C_S15_L003_R2_001_screen	11559622.0	110.0	30.0	8.0	14.0	0.0	4173873.0	1599885.0
DeDupTrimmed.30_mock_A_S16_L003_R1_001_screen	5325459.0	8.0	1.0	1.0	0.0	0.0	319293.0	3475873.0
DeDupTrimmed.30_mock_A_S16_L003_R2_001_screen	5351142.0	9.0	2.0	0.0	0.0	0.0	318234.0	3451248.0
DeDupTrimmed.30_mock_B_S17_L003_R1_001_screen	11531682.0	1.0	0.0	0.0	0.0	0.0	14041.0	1720648.0
DeDupTrimmed.30_mock_B_S17_L003_R2_001_screen	11534748.0	1.0	0.0	0.0	0.0	0.0	14955.0	1716668.0
DeDupTrimmed.30_mock_C_S18_L003_R1_001_screen	21542601.0	0.0	0.0	0.0	0.0	0.0	11506.0	4715371.0
DeDupTrimmed.30_mock_C_S18_L003_R2_001_screen	21581476.0	0.0	0.0	0.0	0.0	0.0	9408.0	4678594.0
