Sample	total_reads	CulexT_KNWR counts	CulexT_KNWR percentage	WNV_NC_001563 counts	WNV_NC_001563 percentage	WNV_MZ605381 counts	WNV_MZ605381 percentage	WNV_KJ501492 counts	WNV_KJ501492 percentage	WNV_OZ20175 counts	WNV_OZ20175 percentage	viralProj_30293 counts	viralProj_30293 percentage	No hits counts	No hits percentage
DeDupTrimmed.22_WNV_A_S1_L003_R1_001_screen	28889659	15545716.0	53.82	286327.0	0.99	9578041.0	33.15	9566910.0	33.11	9480749.0	32.82	9577330.0	33.15	3767211	13.04
DeDupTrimmed.22_WNV_A_S1_L003_R2_001_screen	28889659	15599678.0	53.99	282936.0	0.98	9541335.0	33.03	9530696.0	32.99	9446568.0	32.7	9540302.0	33.019999999999996	3752766	12.99
DeDupTrimmed.22_WNV_B_S2_L003_R1_001_screen	30869634	17534505.0	56.8	358558.0	1.16	11186226.0	36.239999999999995	11173776.0	36.190000000000005	11076899.0	35.879999999999995	11185486.0	36.239999999999995	2151613	6.97
DeDupTrimmed.22_WNV_B_S2_L003_R2_001_screen	30869634	17589018.0	56.980000000000004	353541.0	1.14	11141320.0	36.089999999999996	11129534.0	36.050000000000004	11036801.0	35.76	11140255.0	36.089999999999996	2148526	6.96
DeDupTrimmed.22_WNV_C_S3_L003_R1_001_screen	30302245	14427448.0	47.620000000000005	421536.0	1.39	13564927.0	44.769999999999996	13551802.0	44.72	13437897.0	44.35	13563906.0	44.769999999999996	2312061	7.63
DeDupTrimmed.22_WNV_C_S3_L003_R2_001_screen	30302245	14506160.0	47.87	415302.0	1.37	13502324.0	44.56	13489722.0	44.51	13381119.0	44.16	13500883.0	44.55	2306000	7.61
DeDupTrimmed.22_mock_A_S4_L003_R1_001_screen	12891625	10748202.0	83.37	3289.0	0.03	95076.0	0.73	95009.0	0.73	94532.0	0.73	95073.0	0.73	2048479	15.89
DeDupTrimmed.22_mock_A_S4_L003_R2_001_screen	12891625	10757375.0	83.44	3287.0	0.03	94668.0	0.73	94599.0	0.73	94113.0	0.73	94665.0	0.73	2039455	15.82
DeDupTrimmed.22_mock_B_S5_L003_R1_001_screen	16794480	8544495.0	50.88	1157.0	0.01	31456.0	0.19	31436.0	0.19	31231.0	0.18	31454.0	0.19	8219218	48.94
DeDupTrimmed.22_mock_B_S5_L003_R2_001_screen	16794480	8620041.0	51.32	1115.0	0.01	31214.0	0.18	31187.0	0.18	31005.0	0.18	31213.0	0.18	8143643	48.49
DeDupTrimmed.22_mock_C_S6_L003_R1_001_screen	6433907	1952688.0	30.349999999999998	993.0	0.02	27667.0	0.43	27659.0	0.43	27536.0	0.43	27667.0	0.43	4453550	69.22
