Sample	PE mapped uniquely	PE one mate mapped uniquely	PE multimapped	PE one mate multimapped	PE neither mate aligned
22_WNV_A_S1	3680303.0	294411.0	8588672.0	249115.5	16077157.5
22_WNV_B_S2	4491843.0	399113.0	9173380.0	330407.5	16474890.5
22_WNV_C_S3	3674500.0	420020.5	6758982.0	317424.5	19131318.0
22_mock_A_S4	2317929.0	152305.0	6596214.0	152481.5	3672695.5
22_mock_B_S5	1937070.0	154696.5	4663820.0	135936.0	9902957.5
22_mock_C_S6	225692.0	25341.0	648659.0	23023.0	5511192.0
26_WNV_A_S7	1541296.0	165848.0	2400094.0	118894.5	23162096.5
26_WNV_B_S8	301090.0	60747.0	690732.0	49007.0	7105942.0
26_WNV_C_S9	703092.0	63851.0	1510001.0	48158.5	10887336.5
26_mock_A_S10	2718012.0	213947.0	5402949.0	172638.0	10507652.0
26_mock_B_S11	1398903.0	142097.0	3506859.0	113315.5	7302856.5
26_mock_C_S12	321294.0	48654.5	723181.0	39334.5	5420715.0
30_WNV_A_S13	4518944.0	407949.5	10791691.0	367310.0	9671389.5
30_WNV_B_S14	1733458.0	115538.5	4704239.0	109891.5	5596943.0
30_WNV_C_S15	2750599.0	234914.5	6777552.0	202818.0	7367658.5
30_mock_A_S16	1158315.0	104732.0	2906825.0	89091.0	4861672.0
30_mock_B_S17	2528002.0	255202.5	6306276.0	214644.5	3962247.0
30_mock_C_S18	5507639.0	569635.5	11381521.0	423684.5	8386998.0
