Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
22_WNV_A_S1	28889659	28889659	16620684	3680303	8588672	32154315	588822	498231	44.35	249115.5	16077157.5	294411.0
22_WNV_B_S2	30869634	30869634	17204411	4491843	9173380	32949781	798226	660815	46.63	330407.5	16474890.5	399113.0
22_WNV_C_S3	30302245	30302245	19868763	3674500	6758982	38262636	840041	634849	36.87	317424.5	19131318.0	420020.5
22_mock_A_S4	12891625	12891625	3977482	2317929	6596214	7345391	304610	304963	71.51	152481.5	3672695.5	152305.0
22_mock_B_S5	16794480	16794480	10193590	1937070	4663820	19805915	309393	271872	41.03	135936.0	9902957.5	154696.5
22_mock_C_S6	6433907	6433907	5559556	225692	648659	11022384	50682	46046	14.34	23023.0	5511192.0	25341.0
26_WNV_A_S7	27388229	27388229	23446839	1541296	2400094	46324193	331696	237789	15.43	118894.5	23162096.5	165848.0
26_WNV_B_S8	8207518	8207518	7215696	301090	690732	14211884	121494	98014	13.42	49007.0	7105942.0	60747.0
26_WNV_C_S9	13212439	13212439	10999346	703092	1510001	21774673	127702	96317	17.6	48158.5	10887336.5	63851.0
26_mock_A_S10	19015198	19015198	10894237	2718012	5402949	21015304	427894	345276	44.74	172638.0	10507652.0	213947.0
26_mock_B_S11	12464031	12464031	7558269	1398903	3506859	14605713	284194	226631	41.41	113315.5	7302856.5	142097.0
26_mock_C_S12	6553179	6553179	5508704	321294	723181	10841430	97309	78669	17.28	39334.5	5420715.0	48654.5
30_WNV_A_S13	25757284	25757284	10446649	4518944	10791691	19342779	815899	734620	62.45	367310.0	9671389.5	407949.5
30_WNV_B_S14	12260070	12260070	5822373	1733458	4704239	11193886	231077	219783	54.35	109891.5	5596943.0	115538.5
30_WNV_C_S15	17333542	17333542	7805391	2750599	6777552	14735317	469829	405636	57.49	202818.0	7367658.5	234914.5
30_mock_A_S16	9120635	9120635	5055495	1158315	2906825	9723344	209464	178182	46.7	89091.0	4861672.0	104732.0
30_mock_B_S17	13266372	13266372	4432094	2528002	6306276	7924494	510405	429289	70.13	214644.5	3962247.0	255202.5
30_mock_C_S18	26269478	26269478	9380318	5507639	11381521	16773996	1139271	847369	68.07	423684.5	8386998.0	569635.5
