X22_mock_A	X22_mock_B	X22_mock_C	X22_WNV_A	X22_WNV_B	X22_WNV_C	X26_mock_A	X26_mock_B	X26_mock_C	X26_WNV_A	X26_WNV_B	X26_WNV_C	X30_mock_A	X30_mock_B	X30_mock_C	X30_WNV_A	X30_WNV_B	X30_WNV_C
agat-cds-3538	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
agat-gene-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
agat-gene-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
agat-gene-12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
agat-gene-13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
agat-gene-15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
agat-gene-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
agat-gene-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
agat-gene-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
agat-gene-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
agat-gene-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
agat-gene-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
agat-gene-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
agat-gene-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1	1	0	0	0	3	0	0	14	0	1	0	0	0	5	15	0	1	9
gene10	2	1	2	5	4	2	21	7	0	3	0	0	0	1	0	10	8	2
gene100	15	15	0	26	22	11	20	6	0	11	0	3	1	18	41	19	8	19
gene1000	0	0	0	8	5	1	7	0	0	2	0	0	0	1	4	9	2	3
gene10000	2	5	0	23	9	17	4	5	14	3	0	3	8	16	26	26	6	25
gene10001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10004	1	0	0	1	2	0	6	0	0	0	0	0	1	0	2	3	1	1
gene10005	4	13	3	12	12	7	6	1	0	4	0	1	35	2	99	31	5	24
gene10006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10007	4	1	0	11	16	7	10	9	0	5	0	0	1	3	48	12	7	8
gene10008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1001	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0
gene10010	7	0	0	10	7	11	4	3	0	4	0	0	0	9	12	1	6	10
gene10011	0	2	0	6	9	7	2	0	0	1	0	0	0	5	3	4	7	0
gene10012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
gene10013	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10015	6	18	2	8	24	8	13	1	1	3	0	1	0	10	7	5	8	2
gene10016	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10018	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
gene10019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10020	11	3	0	10	7	9	12	2	0	4	0	3	13	34	35	37	7	9
gene10021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
gene10022	7	1	0	0	0	1	0	1	0	0	0	0	4	0	7	2	0	0
gene10023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10024	5	1	4	7	5	16	27	9	2	2	0	8	2	11	11	6	40	5
gene10025	3	5	2	9	6	3	12	2	0	5	0	0	0	2	3	17	2	2
gene10026	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10027	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10028	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
gene10029	0	3	0	2	0	1	0	0	0	0	0	0	0	6	4	0	0	0
gene1003	3	2	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
gene10030	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10033	7	45	6	30	16	11	17	12	1	12	0	2	9	24	53	47	5	19
gene10034	3	3	0	3	1	0	1	0	0	3	0	0	0	0	0	6	0	0
gene10035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10036	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0	2	0	0
gene10037	0	0	0	1	2	1	0	0	0	0	0	0	0	4	0	2	0	0
gene10038	0	2	0	1	0	0	2	1	0	1	0	0	0	2	2	0	0	0
gene10039	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
gene1004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10040	6	7	0	9	7	9	16	3	0	4	0	3	1	4	22	10	2	13
gene10041	1	0	0	1	1	5	3	2	0	0	0	0	0	0	9	1	2	0
gene10042	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
gene10043	4	6	0	9	4	8	14	3	0	2	0	0	6	2	4	3	0	4
gene10044	0	0	0	1	2	0	0	2	0	3	0	0	3	2	0	0	0	0
gene10045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10047	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
gene10048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10049	10	3	0	16	12	18	16	7	0	3	6	2	0	7	19	23	6	3
gene1005	0	24	0	5	0	3	4	0	0	5	0	1	2	2	11	2	5	1
gene10050	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0
gene10051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10053	3	0	0	1	4	4	2	0	0	1	0	0	0	0	3	5	0	0
gene10054	9	41	0	7	20	8	48	14	3	16	2	2	2	10	5	11	11	16
gene10055	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10056	5	0	0	4	0	0	0	2	0	1	0	0	0	14	0	4	3	0
gene10057	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
gene10058	1	0	0	1	0	0	0	0	0	4	0	1	1	0	2	1	0	0
gene10059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
gene1006	21	11	0	17	11	5	6	5	1	6	0	0	15	8	9	13	2	15
gene10060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10061	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
gene10062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10064	19	50	4	43	41	18	39	19	7	16	0	4	5	25	37	40	11	11
gene10065	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
gene10067	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	1
gene10068	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	5
gene10069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10071	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1
gene10072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9
gene10073	4	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	4	0
gene10074	7	0	0	21	5	0	2	1	0	5	0	0	0	0	3	3	0	1
gene10075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10078	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene1008	9	2	2	4	1	1	2	1	0	4	0	3	0	1	4	5	0	1
gene10080	4	2	2	9	12	20	7	5	0	4	0	0	0	7	5	9	2	5
gene10081	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
gene10082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	5
gene10083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10084	0	0	0	0	1	0	0	0	0	1	0	0	0	3	3	0	0	3
gene10085	1	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
gene10086	5	5	0	4	7	5	8	0	0	0	0	4	1	8	5	12	0	13
gene10087	5	10	0	5	11	0	7	1	0	5	0	0	0	0	5	11	0	0
gene10088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gene10089	4	3	0	4	8	38	8	1	0	0	0	1	2	34	4	0	0	2
