T22_mock vs T22_WNV	T22_mock vs T26_mock	T22_mock vs T26_WNV	T22_mock vs T30_mock	T22_mock vs T30_WNV	T22_WNV vs T26_mock	T22_WNV vs T26_WNV	T22_WNV vs T30_mock	T22_WNV vs T30_WNV	T26_mock vs T26_WNV	T26_mock vs T30_mock	T26_mock vs T30_WNV	T26_WNV vs T30_mock	T26_WNV vs T30_WNV	T30_mock vs T30_WNV
MT-nbis-gene-2	0.5257359	0.8710195	0.819349	0.9054	0.9976871	0.3876121	0.8509429	0.7518412	0.562997	1	0.7031578	0.8467964	0.9082529	0.8342403	1
MT-nbis-gene-3	0.4352472	0.338299	0.5823015	0.9823529	0.8410132	0.0181115	0.0945902	0.4717237	0.2419415	1	0.1778055	0.3992266	0.4315982	0.8342403	1
MT-nbis-gene-4	0.7104867	0.9743504	0.9707489	0.8627822	0.983494	0.7338501	0.7386188	0.936926	0.6764947	1	0.8132412	0.9873691	0.7704767	0.9983283	1
MT-nbis-gene-5	0.2293392	0.8830982	0.8753804	0.7023752	0.9429589	0.523529	0.1395666	0.6600375	0.2110821	1	0.9097849	0.73729	0.3889896	0.9595022	1
MT-nbisL1-trna-10	0.1818951	0.8926169	0.694598	0.8972526	0.9810103	0.4318943	0.6839546	0.3223689	0.2419415	1	0.9992198	0.9114836	0.7770701	0.7142848	1
MT-nbisL1-trna-16	0.6070126	0.9714826	0.8021223	0.2981541	0.9150266	0.7494073	0.3477345	0.9362543	0.7467245	1	0.400873	0.9499313	0.0642112	0.662574	1
MT-nbisL1-trna-17	0.5316586	0.6457304	0.7139968	0.4845024	0.9516735	0.1655672	0.2055443	0.9954291	0.4686688	1	0.0601877	0.6275333	0.0786941	0.7892091	1
MT-nbisL1-trna-19	0.9509443	0.9217182	0.6356294	0.7551555	0.9631479	0.8746693	0.8105664	0.907976	0.8590238	1	0.5821371	0.9600972	0.8918009	0.578961	1
MT-nbisL1-trna-20	0.6748336	0.5801177	0.9451143	0.710829	0.9770113	0.194792	0.6448697	0.9830041	0.6191969	1	0.1078633	0.4676528	0.5371606	0.9891508	1
MT-nbisL1-trna-3	0.1844207	0.7202199	0.0499108	0.8890903	0.9810103	0.6810575	0.8778011	0.3646399	0.2517675	1	0.8561671	0.6490004	0.0545043	0.0789848	1
MT-nbisL1-trna-6	0.0888318	0.9882316	0.9499816	0.6174835	0.904388	0.1333857	0.0997827	0.4817412	0.2384221	1	0.6002022	0.9032621	0.4373661	0.8543763	1
MT-nbisL1-trna-7	0.4460703	0.5814682	0.9556122	0.8428053	0.9938165	0.0840455	0.6183935	0.7652858	0.4543967	1	0.2005579	0.425717	0.8669786	0.9607558	1
MT-nbisL1-trna-9	NA	0.3264969	0.969549	0.715606	NA	0.1349572	NA	NA	NA	1	0.0317251	NA	NA	NA	1
gene1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.5019466	NA	NA	NA	1
gene100	NA	0.9558897	0.9155148	0.9670155	0.8958271	0.9457576	0.906657	0.9808789	NA	1	0.9913331	NA	0.934953	0.7892091	1
gene1000	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10000	NA	0.1426808	0.5751837	0.316076	0.1927773	0.5948661	0.9971773	0.9808789	NA	1	0.5370716	NA	0.9212936	0.8223953	1
gene10001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10002	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10003	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10004	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10005	NA	0.8699623	0.7566938	0.1179364	0.5991989	0.653763	0.5128839	0.5083946	NA	1	0.040807	NA	0.0280305	0.3466073	1
gene10006	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10007	NA	0.905069	0.8392856	0.8696577	NA	0.9707426	NA	NA	NA	1	0.9908845	NA	NA	NA	1
gene10008	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene1001	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1
gene10010	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.7034049	NA	NA	NA	1
