T22_mock vs T22_WNV	T22_mock vs T26_mock	T22_mock vs T26_WNV	T22_mock vs T30_mock	T22_mock vs T30_WNV	T22_WNV vs T26_mock	T22_WNV vs T26_WNV	T22_WNV vs T30_mock	T22_WNV vs T30_WNV	T26_mock vs T26_WNV	T26_mock vs T30_mock	T26_mock vs T30_WNV	T26_WNV vs T30_mock	T26_WNV vs T30_WNV	T30_mock vs T30_WNV
MT-nbis-gene-3	NA	NA	NA	NA	NA	1.47799978647402	1.18924731082976	NA	NA	NA	NA	NA	NA	NA	NA
MT-nbisL1-trna-16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.01517727171097	NA	NA
MT-nbisL1-trna-17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.26556049654357	NA	-1.18003066797107	NA	NA
MT-nbisL1-trna-3	NA	NA	-2.06024262654248	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.73235539919676	1.99308318598307	NA
MT-nbisL1-trna-6	-0.986959840596542	NA	NA	NA	NA	NA	1.06925932853239	NA	NA	NA	NA	NA	NA	NA	NA
MT-nbisL1-trna-7	NA	NA	NA	NA	NA	1.50771466693533	NA	NA	NA	NA	NA	NA	NA	NA	NA
MT-nbisL1-trna-9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5.91888038537907	NA	NA	NA	NA
gene10005	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.38439197888007	NA	-4.06441516847775	NA	NA
gene10054	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.30390194299086	NA	NA
gene10093	NA	NA	NA	7.12735381626664	NA	NA	NA	NA	NA	NA	7.6595023128247	NA	NA	NA	NA
gene10132	NA	NA	NA	NA	NA	3.2533611129896	3.32460221941251	2.04624371474504	NA	NA	NA	-2.02290545126635	NA	NA	NA
gene10137	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.30367695051668	NA	-1.77486736478968	NA	NA
gene10162	NA	NA	NA	NA	NA	3.03000497352955	4.14932921837868	NA	NA	NA	-2.17760459231025	NA	-3.29692883715939	NA	NA
gene10172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.99833701185563	-2.33445426713162	NA	NA	NA
gene10202	NA	NA	NA	NA	NA	-3.09500476598446	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10227	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.1463425335728	NA	NA	NA
gene10250	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.74253964487683	-1.65746252621211	NA	NA	NA
gene10260	NA	NA	3.13651254947253	NA	NA	NA	2.66530058836733	NA	NA	NA	NA	NA	-2.49232644447156	-2.42300596210332	NA
gene103	NA	NA	NA	0.873882170140785	NA	NA	NA	1.22750286746561	1.01203293543842	NA	NA	NA	NA	NA	NA
gene10305	-1.85134614059426	NA	NA	-1.94761690562381	-2.56862387655339	NA	NA	NA	NA	NA	NA	-1.76315257328267	NA	NA	NA
gene10345	NA	NA	NA	3.46468301912776	NA	NA	NA	NA	NA	NA	4.07045764715203	NA	4.49751363920456	NA	NA
gene10405	NA	NA	NA	-2.01012918752981	NA	NA	NA	-1.94417079607821	NA	NA	-2.30167655307863	NA	-2.33059349477818	NA	NA
gene10420	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2.31123015816541	-1.50480918657963	-2.06665639415299	NA	NA
gene10425	NA	NA	NA	-5.88140204206371	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10475	NA	NA	NA	-3.59537488030114	-4.37290804763633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10476	NA	NA	NA	NA	-4.58682702739107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene1054	5.10362344565272	NA	NA	3.99629288756973	4.96345018527409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10551	NA	NA	NA	5.09066355021191	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10555	NA	NA	NA	NA	NA	NA	NA	-2.68068425494166	NA	NA	-2.2387907051223	NA	-2.98296382864335	NA	NA
gene10568	NA	-6.59076594518976	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10578	NA	NA	NA	NA	NA	-5.06307492583599	-4.68423821376988	NA	NA	NA	NA	NA	NA	NA	NA
gene10616	NA	NA	NA	NA	NA	NA	NA	-2.66609938019492	NA	NA	-2.28083012982676	-1.84784776688967	-2.2937189662535	NA	NA
gene10631	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3.97617735256172	NA	-3.95840465103066	NA	NA
gene10705	NA	NA	NA	NA	-2.37670795228889	NA	NA	NA	NA	NA	NA	-2.51989884861568	NA	NA	NA
gene1072	2.09290571177269	NA	NA	NA	NA	-2.25976803100989	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene1073	2.49020414698579	NA	NA	1.78394549172251	NA	-2.32460388717568	-2.38996357844008	NA	NA	NA	1.6183452319124	NA	1.68370492317681	NA	NA
gene10759	NA	NA	NA	-2.25492156987467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene108	NA	NA	1.80941332112022	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
gene10852	NA	NA	-5.43968049291112	NA	NA	NA	-5.43642828113495	NA	NA	NA	NA	NA	NA	4.3376212855351	NA
gene10885	NA	NA	NA	-1.43059516538482	-1.2664415767827	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
