T22_mock vs T22_WNV	T22_mock vs T26_mock	T22_mock vs T26_WNV	T22_mock vs T30_mock	T22_mock vs T30_WNV	T22_WNV vs T26_mock	T22_WNV vs T26_WNV	T22_WNV vs T30_mock	T22_WNV vs T30_WNV	T26_mock vs T26_WNV	T26_mock vs T30_mock	T26_mock vs T30_WNV	T26_WNV vs T30_mock	T26_WNV vs T30_WNV	T30_mock vs T30_WNV
MT-nbis-gene-3	0.435247219361849	0.338299010678152	0.582301453028114	0.982352905468852	0.841013223175226	0.0181114993053113	0.0945901941054487	0.471723686253389	0.241941546938151	1	0.177805456206467	0.399226581488126	0.431598245970901	0.834240299740352	1
MT-nbisL1-trna-16	0.607012579210232	0.971482551944152	0.802122321573333	0.2981541317883	0.915026557019779	0.74940727595796	0.347734474663075	0.936254329304867	0.746724524320453	1	0.400873004051933	0.949931252072433	0.0642111797803895	0.662574021219586	1
MT-nbisL1-trna-17	0.531658642948816	0.645730414918701	0.713996808429791	0.484502390487669	0.951673455663433	0.165567224445177	0.205544315831378	0.995429067077654	0.468668843596936	1	0.0601876824965166	0.627533274973462	0.0786940898683521	0.789209122523477	1
MT-nbisL1-trna-3	0.184420748865826	0.720219928852929	0.0499108367402664	0.889090321176446	0.98101032053464	0.681057458329154	0.877801100751834	0.36463991958242	0.251767536237149	1	0.856167086255747	0.649000402493033	0.0545042920979676	0.078984845542584	1
MT-nbisL1-trna-6	0.0888318346901944	0.988231591771647	0.949981634768072	0.617483516580086	0.904388035751457	0.133385741730571	0.0997826678598157	0.481741177165233	0.238422056518187	1	0.600202245979851	0.90326207148351	0.437366120644229	0.854376312322695	1
MT-nbisL1-trna-7	0.446070251178813	0.58146818974092	0.955612183328777	0.842805255284586	0.993816458587144	0.0840455130834378	0.618393536259766	0.76528581714425	0.454396661462566	1	0.200557854397561	0.42571704904942	0.866978554121605	0.960755812578117	1
MT-nbisL1-trna-9	NA	0.326496910667527	0.969548962705257	0.715606007999137	NA	0.134957194473269	NA	NA	NA	1	0.0317251086586978	NA	NA	NA	1
gene10005	NA	0.869962325546167	0.756693842736709	0.117936431152119	0.599198948469806	0.653762953800909	0.512883911454115	0.508394599061341	NA	1	0.0408070405303972	NA	0.0280304752637629	0.346607285647322	1
gene10054	NA	0.852493435971872	0.635629412089649	0.343196734341345	0.858025317923159	0.768572739489808	0.522518811138181	0.664874611334692	NA	1	0.127917901406082	NA	0.0244470447261693	0.429373179257794	1
gene10093	NA	0.946548750829811	NA	0.0117562386621589	NA	0.180798831096047	NA	NA	NA	1	0.00646653164829725	NA	NA	NA	1
