"","22_mock_A_S4HSCounts.txt","22_mock_B_S5HSCounts.txt","22_mock_C_S6HSCounts.txt","22_WNV_B_S2HSCounts.txt","22_WNV_C_S3HSCounts.txt","26_mock_A_S10HSCounts.txt","26_mock_B_S11HSCounts.txt","26_mock_C_S12HSCounts.txt","26_WNV_A_S7HSCounts.txt","26_WNV_B_S8HSCounts.txt","26_WNV_C_S9HSCounts.txt","30_mock_A_S16HSCounts.txt","30_mock_B_S17HSCounts.txt","30_mock_C_S18HSCounts.txt","30_WNV_A_S13HSCounts.txt","30_WNV_B_S14HSCounts.txt","30_WNV_C_S15HSCounts.txt"
"MT-nbis-gene-2",508.003904294258,398.345912738601,557.838067024008,796.471541262913,876.451390222222,271.880424367293,409.620375894458,508.680027059211,322.473804982153,1226.63462426775,382.345578014201,380.625702311742,871.241334801064,440.111790099514,567.149294548461,484.617065461482,415.797590985757
"MT-nbis-gene-3",2904.7402732723,2374.66328337922,2174.69683941391,3976.55110941593,3935.41607195456,1385.55395938904,1429.41429093886,1446.55882694963,1446.63547573667,2026.89892459216,1741.50554369482,1823.04210813113,4014.50045595638,1763.49860214275,2765.61683790874,1700.11578679242,1834.33194665428
"MT-nbis-gene-4",36.9062665512923,45.051025845437,34.8648791890005,76.9374089069278,65.4753987453036,16.7766505054228,75.680438964334,10.5975005637336,39.8274420495887,59.0358910075386,15.7128319731863,12.9171618431587,95.2834646482622,56.0995828446848,45.6807713136026,26.703389321347,39.4037321019034
"MT-nbis-gene-5",5425.22118303996,3975.16025420395,4026.89354632956,8051.33048303378,7362.53628522848,4111.75966652024,5622.11060956296,5584.88279708759,3430.29904104522,4191.54826153524,4179.61330486756,4222.18963446713,8004.35863657269,4725.9790836606,5121.71521185822,3332.97859307183,4122.68898558721
"MT-nbisL1-trna-10",107.10053822728,87.7309450674299,74.0878682766261,347.428047768391,243.522535684287,76.9752199660576,236.501371763544,21.1950011274671,120.767082343914,282.060368147129,81.1829651947961,46.5017826353712,134.163499073702,157.970791859719,85.5710223198472,84.0662256412775,114.682503878674
"MT-nbisL1-trna-16",706.284630471789,628.936031868535,963.142287596139,1230.03077636107,952.839355425076,601.985694606348,788.968576203182,1012.06130383655,587.133581182646,701.871148645181,557.805535048115,823.253781470646,1808.74300996098,1086.31326110963,1068.02930113493,684.39797816193,789.838988251587
"MT-nbisL1-trna-17",764.176813297346,770.016875963456,1141.82479343977,1540.19982736321,1335.35352704238,464.811905179655,645.175742170947,662.343785233347,656.510415720639,610.037540411232,607.562836296538,855.116114017104,2575.93918221509,818.255840153017,1169.3634065137,653.738531163346,639.281444698045
"MT-nbisL1-trna-19",24.6041777008615,14.8194163965253,69.729758378001,44.0333598146568,40.2041922120285,13.8160651221129,58.6523401973588,0,28.2646362932565,190.22675991318,26.1880532886439,32.7234766693353,66.8079464775171,80.0416642260984,41.4987288693996,20.7693028054921,27.053308607277
"MT-nbisL1-trna-20",363.273447230367,363.964866698662,536.047517530883,640.177308074625,568.02780139566,232.405952589828,236.501371763544,328.52251747574,335.321366933634,531.323019067847,298.54380749054,449.517232141922,908.478550870499,338.710033660586,556.855036224269,357.034205370602,288.764663612456
"MT-nbisL1-trna-3",588.329307964718,586.256112646542,505.540748240507,1921.01580729876,1476.06819978448,600.011971017474,916.679316955495,1245.20631623869,820.959208699586,5569.05238504447,649.463721558368,458.128673370694,933.120826210567,718.966620306567,814.211494329072,374.836464918167,571.648173179853
