"","22_mock_A_S4HSCounts.txt","22_mock_B_S5HSCounts.txt","22_mock_C_S6HSCounts.txt","22_WNV_B_S2HSCounts.txt","22_WNV_C_S3HSCounts.txt","26_mock_A_S10HSCounts.txt","26_mock_B_S11HSCounts.txt","26_mock_C_S12HSCounts.txt","26_WNV_A_S7HSCounts.txt","26_WNV_B_S8HSCounts.txt","26_WNV_C_S9HSCounts.txt","30_mock_A_S16HSCounts.txt","30_mock_B_S17HSCounts.txt","30_mock_C_S18HSCounts.txt","30_WNV_A_S13HSCounts.txt","30_WNV_B_S14HSCounts.txt","30_WNV_C_S15HSCounts.txt"
"MT-nbis-gene-2",702,672,128,1646,1526,551,433,96,251,187,146,442,1591,1875,1763,490,707
"MT-nbis-gene-3",4014,4006,499,8218,6852,2808,1511,273,1126,309,665,2117,7331,7513,8597,1719,3119
"MT-nbis-gene-4",51,76,8,159,114,34,80,2,31,9,6,15,174,239,142,27,67
"MT-nbis-gene-5",7497,6706,924,16639,12819,8333,5943,1054,2670,639,1596,4903,14617,20134,15921,3370,7010
"MT-nbisL1-trna-10",148,148,17,718,424,156,250,4,94,43,31,54,245,673,266,85,195
"MT-nbisL1-trna-16",976,1061,221,2542,1659,1220,834,191,457,107,213,956,3303,4628,3320,692,1343
"MT-nbisL1-trna-17",1056,1299,262,3183,2325,942,682,125,511,93,232,993,4704,3486,3635,661,1087
"MT-nbisL1-trna-19",34,25,16,91,70,28,62,0,22,29,10,38,122,341,129,21,46
"MT-nbisL1-trna-20",502,614,123,1323,989,471,250,62,261,81,114,522,1659,1443,1731,361,491
"MT-nbisL1-trna-3",813,989,116,3970,2570,1216,969,235,639,849,248,532,1704,3063,2531,379,972
"MT-nbisL1-trna-6",18044,15897,2298,46586,35520,16582,13022,2193,7600,1624,3927,12788,36961,50358,47263,9331,19628
"MT-nbisL1-trna-7",920,753,125,1863,1808,667,482,43,304,136,197,603,2064,1752,2124,523,740
"MT-nbisL1-trna-9",4,19,0,24,20,0,0,0,12,0,0,6,65,19,28,16,6
"gene1",5,0,0,8,0,0,23,0,2,0,0,0,2,17,0,3,6
"gene10",2,8,3,16,2,21,7,0,7,0,0,0,1,10,13,9,7
"gene100",20,50,0,49,20,32,20,0,16,0,3,0,29,105,52,20,60
"gene1000",2,0,0,13,5,9,0,0,1,0,0,0,0,16,19,10,5
"gene10000",1,13,0,26,23,16,18,22,8,0,9,23,30,48,63,14,58
"gene10001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10004",2,0,0,2,0,1,0,0,0,0,0,9,0,9,2,8,3
"gene10005",4,19,1,30,18,11,4,0,1,0,2,77,10,215,66,10,37
"gene10006",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10007",11,11,0,10,16,5,24,0,4,0,0,1,10,98,32,13,10
"gene10008",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10009",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene1001",0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0
"gene10010",4,0,0,10,15,6,1,0,4,0,2,7,7,33,2,10,14
"gene10011",0,0,0,6,19,4,0,0,2,0,0,0,14,25,8,7,0
"gene10012",0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,5,0
"gene10013",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"gene10014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10015",15,27,2,43,37,6,9,4,7,0,0,0,15,27,25,11,0
"gene10016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10018",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"gene10019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene1002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10020",22,9,0,6,29,16,7,0,7,0,0,43,36,51,61,16,17
"gene10021",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10022",13,0,0,0,5,0,4,0,0,0,0,6,0,9,3,0,0
"gene10023",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10024",12,10,1,14,29,31,14,5,12,0,4,0,31,30,14,23,21
"gene10025",7,7,6,11,11,13,15,0,1,0,0,1,10,11,16,8,12
"gene10026",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10027",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10028",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10029",0,8,0,2,0,2,0,0,3,0,0,0,18,4,0,0,0
"gene1003",3,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"gene10030",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10031",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10032",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10033",14,107,14,30,19,37,26,7,7,0,2,33,42,99,103,16,25
"gene10034",5,13,0,12,0,3,0,0,3,0,0,0,0,0,2,0,0
"gene10035",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10036",0,0,0,6,0,2,0,0,3,0,0,0,8,0,2,0,0
"gene10037",0,0,0,3,2,1,0,0,0,0,0,0,10,0,2,0,0
"gene10038",0,0,0,0,0,1,0,0,0,0,0,0,8,4,0,0,0
"gene10039",0,0,0,0,0,0,0,0,4,0,0,0,0,6,0,0,0
"gene1004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10040",13,5,0,17,18,14,7,0,4,0,5,1,15,48,15,5,17
"gene10041",0,0,0,0,4,3,0,0,0,0,0,0,0,17,5,8,0
"gene10042",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1
"gene10043",12,18,0,14,8,12,16,0,0,0,0,11,0,10,19,0,14
"gene10044",0,0,0,6,0,0,3,0,0,0,0,3,11,0,0,0,0
"gene10045",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10046",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10047",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"gene10048",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10049",25,10,0,29,44,30,32,4,10,9,2,0,41,22,36,3,6
"gene1005",0,27,0,2,8,8,0,0,9,0,8,4,0,21,5,1,5
"gene10050",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"gene10051",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10052",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10053",3,0,0,8,8,2,0,0,4,0,3,0,0,5,6,0,0
"gene10054",5,79,0,24,25,64,24,7,34,14,5,7,2,31,20,21,15
"gene10055",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10056",0,0,0,0,0,1,6,0,0,0,0,0,8,0,9,4,0
"gene10057",0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0
"gene10058",1,0,0,0,0,0,0,0,0,0,0,7,0,2,6,0,0
"gene10059",0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0
"gene1006",33,41,0,20,29,17,34,0,9,0,1,23,16,18,39,2,46
"gene10060",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10061",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10062",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10063",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10064",37,51,12,79,31,69,37,10,25,0,7,14,41,78,60,11,16
"gene10065",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10066",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"gene10067",1,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,7
"gene10068",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,15
"gene10069",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene1007",0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"gene10070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10071",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
"gene10072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"gene10073",2,0,0,17,0,0,0,0,0,0,0,0,0,0,0,4,0
"gene10074",2,0,0,6,0,9,5,1,4,0,2,0,0,3,6,0,10
"gene10075",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10076",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10077",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10079",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene1008",11,12,0,1,1,7,5,0,3,0,9,0,1,8,7,0,10
"gene10080",3,5,7,9,47,4,12,1,12,0,0,0,20,10,10,6,16
"gene10081",0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1
"gene10082",0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,10
"gene10083",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10084",0,0,0,3,0,1,0,0,2,0,0,0,11,10,0,0,6
"gene10085",1,2,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"gene10086",15,12,0,20,16,11,0,0,3,0,4,5,19,8,37,0,17
"gene10087",4,11,0,6,0,12,6,0,4,0,0,0,0,15,12,0,1
"gene10088",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gene10089",5,0,0,13,58,5,6,0,0,0,0,2,65,29,0,0,4
"gene1009",1,0,0,7,4,17,7,0,2,0,3,0,10,11,7,0,0
