"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"METTL18",17.2874092690343,-6.30078700804066,1.48629745361758,-4.23925035510545,2.24267439079881e-05,0.152882708211693
"LCORL",44.5306555005168,-3.77996640421863,0.901962590194743,-4.19082392696852,2.77943292812822e-05,0.152882708211693
"gene9333",16.4745402307254,-6.06270087294533,1.49847292710545,-4.04591952465665,5.21181366252928e-05,0.191117207004949
"cry",8.2319359101631,-5.99084223568924,1.53659996294472,-3.89876505281731,9.66845294153717e-05,0.265906627024626
"gene13387",11.2565028843327,-5.24306592212469,1.37214448146756,-3.82107423302614,0.000132871646932664,0.292344197581248
"gene6114",23.3308039411426,-3.60772074219812,0.993381012464409,-3.63175931181529,0.000281495606136098,0.516122193850536
"gene5284",94.7052192797307,-2.05834026041808,0.60249496923374,-3.41636090843364,0.000634640752935564,0.873948490578883
"CAAP1",17.1859758208415,-3.30542545323775,0.967637521525068,-3.41597486631994,0.000635541125773208,0.873948490578883
"gene8191",24.0029469133519,-2.90722658271574,0.870736817804491,-3.33881205350444,0.000841374696678473,0.96396753675571
"ERH",8.90561967762209,5.51308346472994,1.67778673689053,3.28592624051102,0.0010164762327092,0.96396753675571
"gene10276",17.459188413595,-4.45286777575115,1.35974767257015,-3.27477506715235,0.0010574613504085,0.96396753675571
"ATP6V1H",41.3250905662583,2.35502013409505,0.724819319283707,3.24911336030939,0.00115765334243578,0.96396753675571
"dnr1",7.48466470864292,5.50474187633016,1.70105767355596,3.23607010032929,0.00121187618817063,0.96396753675571
"gene1118",8.4134752310162,-6.06950641823007,1.88274848706052,-3.22374786645358,0.00126524747179575,0.96396753675571
"MAI2",12.7859767835017,4.20995452404033,1.31036073842632,3.21282101987905,0.00131438169723986,0.96396753675571
"gene8557",5.96768813340912,-6.65586118437612,2.0948892430926,-3.17719001437534,0.00148709569137059,0.984945365107744
"gene13488",18.2863176780287,2.88624251749969,0.910358446562533,3.17044624389217,0.0015220499233553,0.984945365107744
"gene255",21.6077958329593,3.66172707910172,1.18772701807045,3.08297026453981,0.00204945632324915,1
"gene4507",8.45443136352328,-6.23027709442096,2.02099291621524,-3.08278027321766,0.00205076514472642,1
"PHF14",6.36445711676777,-6.50994159383085,2.1334093371791,-3.05142640954155,0.00227756871156137,1
"DST",19.3175094990481,-3.54664737370359,1.16476840413713,-3.04493782721637,0.00232728414540185,1
"gene9",11.6180407815485,-3.51494614934541,1.15503207133433,-3.04315891876909,0.0023410866450827,1
"SCYL3",8.99241689525405,-5.20309716472535,1.7116093173798,-3.03988597858912,0.00236667729186445,1
"CLCN2",9.15377517247607,5.51656789600406,1.81520815788932,3.03908280272307,0.00237299622186116,1
"gene422",26.4067823665208,-2.30662751424172,0.762294709164156,-3.02589993936977,0.0024789432326912,1
"gene781",23.0331461542566,-3.10409202710538,1.04040081092905,-2.983554025043,0.00284921730491834,1
"gene12734",19.4611317535448,3.33521214181811,1.1213291111714,2.97433831744006,0.00293621146762876,1
"gene14278",6.83736476993462,-5.11184057559295,1.71904168840126,-2.97365713122818,0.00294273693954223,1
"gene10479",17.7507245592564,3.24738369150355,1.0933585094652,2.9700996181865,0.00297703192806608,1
"gene4010",18.5059819995021,-4.5509753248301,1.54555378731356,-2.94455965375393,0.00323414593706582,1
"HYKK",9.19379603449022,-4.14649449776361,1.42222738105104,-2.91549336836653,0.00355126654128544,1
"REXO5",32.6701605585725,2.72828381587181,0.946667270589863,2.88198810778768,0.00395174647773211,1
"gene13537",6.79575073604445,-6.55242410974856,2.27454735986778,-2.88075958555967,0.0039671811861968,1
"EGR1",8.61833209623138,-5.00584853159229,1.75386567915981,-2.85418010687703,0.004314806178085,1
"gene14253",9.10460898007705,-5.84215362844656,2.0528049925689,-2.84593697384554,0.00442809582029024,1
"TFAP4.1",6.38746088070512,-5.185371056967,1.82374160674887,-2.843259723734,0.00446546649698484,1
"gene9116",57.9284398394778,-2.61925404026202,0.922573537177856,-2.83907345562316,0.00452447402131018,1
"NAIP",13.7963872899309,-3.18971304569204,1.12706217300509,-2.83011276759231,0.00465316003320622,1
"gene10568",6.18727065162478,4.38533004536401,1.55781312574075,2.81505526747873,0.00487688460101762,1
"gene2160",6.70660061845794,-4.15356047123406,1.47687276442744,-2.8124023756673,0.00491729476385276,1
"gene13227",6.68373668743278,-6.18897716002857,2.20342632413968,-2.80879695963741,0.00497269974959304,1
"gene4091",14.4645121558016,3.52096493700703,1.25649426652504,2.80221329361464,0.00507533059899564,1
"gene8999",8.8666097356484,-3.62158667926444,1.29799901583411,-2.79013052790119,0.00526867959825814,1
"gene11009",54.1421240358976,-2.3731047359374,0.850785094415408,-2.78931160349959,0.00528202175628489,1
