"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene6127",46.1662898190574,8.73247119680577,1.68788673493091,5.17361207721277,2.29611286584382e-07,8.8476882430515e-05
"gene13167",19.8908256742791,8.56879469450802,3.77913556579221,2.26739542557579,0.0233660806888685,NA
"gene9986",6.52062203652406,8.19242767565658,2.45188951557446,3.3412711395102,0.000833957380501238,NA
"gene11822",6.18304722419863,8.16440578195187,5.62236915230231,1.45212908665177,0.146465715666932,NA
"gene629",13.3821239083261,8.00850317841766,2.05916622428464,3.88919703711624,0.000100576437699779,NA
"gene2152",6.95783190638305,8.00535059548779,2.1547248104,3.7152542899442,0.000202999442504713,NA
"gene10961",6.12602136876296,7.93112575850913,2.53687279933917,3.12633954708928,0.00176997061028336,NA
"gene8973",4.76235274458189,7.87946717141624,5.62327782396558,1.40122316877802,0.161147348076403,NA
"gene13047",8.02557230790643,7.77477679858923,2.33184572750479,3.33417288583181,0.000855534638526307,NA
"gene5842",4.38231753527016,7.71576571340496,5.62388620322672,1.37196334253314,0.17007484973898,NA
"gene5572",4.55802335789228,7.70580172941779,2.54163789713451,3.03182516207578,0.00243079954745843,NA
"gene3786",7.1050461931297,7.70365183284191,3.54976021589543,2.17018935486003,0.0299925041808946,NA
"gene1996",3.8301436905686,7.6651880322492,2.73564808705529,2.80196421042598,0.0050792508077641,NA
"gene11722",3.97239990715603,7.47750500756168,5.62490316869735,1.32935710772304,0.183730181651126,NA
"gene14686",6.2254369247551,7.47749407343372,5.62490321930256,1.32935515188488,0.18373082661151,NA
"gene3604",3.13449018840058,7.47742017402531,5.62490356124129,1.32934193317533,0.18373518567871,NA
"gene11071",3.07631286961769,7.47740685035845,5.62490362288886,1.3293395499136,0.183735971603066,NA
"gene13752",3.07631286961769,7.47740685035845,5.62490362288886,1.3293395499136,0.183735971603066,NA
"gene1015",2.92768334139869,7.40776479060167,5.62523363185107,1.3168812667011,0.187878426760472,NA
"gene12179",12.4313353832403,7.35840134640454,2.13287277423944,3.44999544055245,0.00056059602168504,NA
"gene1474",3.27138726411211,7.34629368797125,5.62553828422447,1.30588280033081,0.191592416492232,NA
"gene14082",3.73365855362815,7.31169179727055,3.06961592555977,2.38195656218365,0.017220928655926,NA
"gene14185",3.74409486519599,7.22196271743414,3.12100471644392,2.31398647986116,0.0206684637784696,NA
"gene201",3.40912251075054,7.19820123895877,3.26767799234589,2.20284901260761,0.027605392327267,NA
"gene8184",4.27203544239946,7.19564186417404,2.42842011137845,2.9630959776929,0.00304561588930807,NA
"gene13552",4.77085544610901,7.0655606187648,2.55356410771363,2.76694076229442,0.00565850360624964,NA
"gene2214",3.40663118400546,7.05846079209394,5.62714817408985,1.25435843765312,0.209711752184033,NA
"gene4083",3.08842366309916,7.05845905231057,5.62714818481809,1.25435812608492,0.209711865379888,NA
"gene3790",2.80806108653607,7.05842710442456,5.62714838166259,1.25435240475018,0.209713944006111,NA
"gene1814",22.4483637401922,7.05443561508034,2.53373203623783,2.78420745137477,0.00536587023034725,NA
"gene5375",2.29495975176633,7.04462019774687,4.46915368275144,1.57627611351459,0.114962184023825,NA
"gene5523",2.29495975176633,7.04462019774687,4.46915368275144,1.57627611351459,0.114962184023825,NA
"gene8619",4.47906097585522,7.01923071096443,2.84972166657102,2.46312851998997,0.0137730536354517,NA
"gene1258",2.86502354130328,7.01475840511572,5.41651757978006,1.29506796604924,0.195296784407736,NA
"gene4634",2.22522132166503,6.99893848996384,4.53274786506622,1.54408290474405,0.122568249716632,NA
"gene7358",2.3760586602965,6.97258242554427,3.74923373487962,1.85973532689558,0.0629229813388914,NA
"gene12305",2.71608886260898,6.96045872555679,5.62777257732643,1.23680525997081,0.216159388841739,NA
"gene7035",3.38175700463548,6.94267126882444,2.50918150403441,2.76690676129311,0.00565909378198511,NA
"gene2631",2.09344302790117,6.90909198200767,4.71756632548239,1.46454580716492,0.143044876731691,NA
"gene4251",7.00987766083491,6.89530063999337,2.63367307947755,2.61813081271317,0.00884129047084159,NA
"gene4587",2.58266953446023,6.88654891222016,5.6282718496927,1.22356366148095,0.221116874899928,NA
"gene14399",2.39716146325725,6.8864968964872,5.6282722100347,1.22355434127887,0.221120392731055,NA
"gene7105",3.38212070703987,6.87317833523953,3.23682572292966,2.12343169622941,0.0337176935014622,NA
"gene8009",2.0268268302304,6.85772889355952,4.12322162885459,1.66319676962515,0.0962730540725067,NA
"gene5857",3.14341030513624,6.84400289806428,3.31456204149213,2.06482872017182,0.0389392093752266,NA
"gene13580",1.81711015521403,6.70851451575639,4.83966047195852,1.38615395741627,0.165699897267005,NA
"gene11448",2.79527000739472,6.70707717793535,2.88115353781252,2.32791383378604,0.0199166795294712,NA
"gene11418",2.39516339315739,6.69135163146937,5.62971777974543,1.18857674456497,0.234606263579565,NA
"gene11844",1.79451584061032,6.69085943106637,5.58055622965594,1.19895923555256,0.230543796768538,NA
"gene2645",1.79451584061032,6.69085943106637,5.58055622965594,1.19895923555256,0.230543796768538,NA
"gene7443",1.79451584061032,6.69085943106637,5.58055622965594,1.19895923555256,0.230543796768538,NA
"gene7200",3.13239896017505,6.66904621239899,2.70112951436342,2.46898424416005,0.0135497184269479,NA
"gene4302",2.41387469468795,6.65176191941126,3.51252085239226,1.89372880587483,0.0582610157533898,NA
"gene9856",1.74737172511273,6.65047484116732,4.91902378122358,1.3519907886099,0.176378262035585,NA
"gene13530",1.93509203642777,6.61337072438276,4.40311732168667,1.50197467866912,0.133103648407915,NA
"gene11759",1.90306956936031,6.54471718292402,4.14977925544595,1.5771241745775,0.114766955720285,NA
"gene12482",4.68170868837083,6.54245084407258,2.53256365645385,2.58333125305662,0.00978513221181782,NA
"gene11829",2.96118879501283,6.51352641455018,3.08602670015849,2.11065134796652,0.0348022906644229,NA
"gene9207",2.44748501070243,6.50361683621005,3.10184554927758,2.0966926730845,0.0360207895296321,NA
"gene4001",1.53815643480885,6.46541624006559,5.63164910959701,1.14805026276366,0.250947814951661,NA
"gene1428",1.56718178170404,6.46180951236339,5.2739956020188,1.22522087615885,0.220492010880149,NA
"gene3455",1.56718178170404,6.46180951236339,5.2739956020188,1.22522087615885,0.220492010880149,NA
"gene7829",1.62523247549443,6.4612152296424,5.22271812327134,1.23713650193997,0.216036410371346,NA
"gene13455",2.30839329623955,6.45430731895623,4.72739962678332,1.3652975903262,0.17215953604993,NA
"gene5374",2.13479953658387,6.45141544009917,4.56196868878816,1.41417354659944,0.157310953025656,NA
"gene1926",1.82582839471761,6.44324551364612,4.19068602581912,1.53751568930452,0.124167076008954,NA
"gene4693",3.43580286377638,6.41891652478065,2.74298530057565,2.34012064280241,0.0192775116018821,NA
"gene3842",3.93121515177595,6.35086503998754,2.49439119669084,2.54605815174976,0.0108947037495363,NA
"gene379",1.40899898876302,6.34570273076594,5.29535244488246,1.19835323461776,0.230779530237436,NA
"gene12485",2.867853743938,6.33633617828523,2.90217494869485,2.18330606882772,0.0290132779338809,NA
"gene10741",1.62693378436503,6.29469806984888,4.20041963234327,1.49858790806986,0.133980571580752,NA
"gene172",4.83953297291868,6.27999346380734,2.72363814337807,2.30573708151201,0.0211253277845603,NA
"gene6125",6.26457575937059,6.27530628658474,2.69361602991074,2.32969592432693,0.0198222281153836,NA
"gene8577",4.31623569197062,6.23373370980618,2.71254704134257,2.29811082159918,0.021555482500184,NA
"gene2343",2.70669112520223,6.21879461424184,2.99238042617218,2.07820989599135,0.0376900310325757,NA
"gene10125",3.78120582217487,6.19526253563679,2.73256536267734,2.26719646682732,0.0233782265772713,NA
"gene1299",1.26952212856043,6.19124483890535,5.51726936525934,1.12215743496046,0.261795506994868,NA
"gene7232",1.83016483298899,6.17391333324259,4.29837090425379,1.43633796867848,0.150906194943665,NA
"gene7827",4.14658691308751,6.16883581149519,2.82639008968114,2.1825847161073,0.0290664063359112,NA
"gene2743",3.37325550386364,6.14969040376976,5.54854633398269,1.10834262410414,0.267713873832306,NA
"gene9339",2.30055076257747,6.14882441623196,3.64497566984309,1.68693153896873,0.0916165167575947,NA
