"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene10992",1952.52214478868,-2.16496687145011,0.406472313030352,-5.32623453565568,1.00269645613679e-07,0.000430958936847593
"gene7268",46.0264683543631,3.87014461407907,0.774739227380693,4.99541584742468,5.87091206752516e-07,0.00126165900331116
"gene3336",41.2597587585737,-4.05831410511616,0.968004885322213,-4.19245209053392,2.7595537257814e-05,0.0395352063780281
"gene10568",6.18727065162478,-6.59076594518976,1.62604500797883,-4.05324939521942,5.0511104452451e-05,0.0434052239000687
"Mal-A1.2",90.9675280887068,-2.16916438617221,0.541911543901266,-4.00280158373489,6.25967974852185e-05,0.0434052239000687
"gene781",23.0331461542566,4.02170381446339,1.00929847998871,3.98465260198189,6.75789174861642e-05,0.0434052239000687
"gene7690",164.075655202248,-1.82551166299701,0.459370392286665,-3.9739428000789,7.06925470685159e-05,0.0434052239000687
"Tdc1",115.794565146864,2.11435094014224,0.536366591340721,3.94198850986809,8.08088486898051e-05,0.0434145539585978
"gene2092",19.8210850012555,-3.67755082627538,0.954324157603664,-3.85356568517539,0.000116410014657842,0.0555922492221561
"FAM46A",19.8424465576434,4.81467532007672,1.28737282451001,3.73992306533986,0.000184076587034475,0.0791161171074172
"gene1685",11.4922758031803,5.09293017035953,1.38580391000004,3.67507273836411,0.000237781660435164,0.0904502740615136
"gene6917",5.75026394937495,6.1769430098426,1.69059505051228,3.65370938946667,0.000258478812121513,0.0904502740615136
"gene13626",12.5385261074485,-5.64796231769379,1.55201733050232,-3.63911034154869,0.000273581564169306,0.0904502740615136
"gene7123",28.785651998928,3.38309632550092,0.950667422562482,3.55865389431557,0.000372760354754287,0.0953697309874221
"gene1628",7.17792902424128,-6.38383272555411,1.79524421478516,-3.55596897234289,0.000376588524352207,0.0953697309874221
"METTL18",17.2874092690343,5.28061494359488,1.48711698345643,3.5509075629823,0.000383905225402726,0.0953697309874221
"gene5423",18.1318640010401,-4.92952408631809,1.38890570543356,-3.5492143685732,0.000386382393000167,0.0953697309874221
"gene4382",49.5999120203017,2.53504952260988,0.716019665393927,3.54047471756965,0.000399407900831456,0.0953697309874221
"gene10927",99.3869504282406,-1.80860553423382,0.513214620478295,-3.52407250703083,0.000424967942326625,0.0961322219010438
"FAM214A",19.8852267914316,3.10141469678266,0.899653438097377,3.44734379422998,0.000566127675059833,0.121660837370358
"NOP14",9.83151295180486,4.30616263310509,1.2612315122537,3.41425233295225,0.000639573119160768,0.130899298388237
"gene1453",75.6960093262104,-1.72536619241146,0.508817391431739,-3.39093400002804,0.00069654873015549,0.13608029282765
"gene10000",19.1346194760544,-3.63395934228793,1.07970785386328,-3.365687606407,0.00076353125899933,0.142680754399092
"gene8069",20.2890684946218,3.21247594588897,0.964466790023361,3.33083106553742,0.000865871327232057,0.153716336645228
"gene1499",10.2883546178409,4.11377760464924,1.2410967805242,3.31463079205774,0.000917642393678384,0.153716336645228
"gene8004",93.9920643222074,1.7240081896952,0.520702827290866,3.31092534808183,0.000929880119305709,0.153716336645228
"gene11592",7.19513786883062,-6.20207726315736,1.88322365184287,-3.29333016664705,0.000990081356211976,0.157606284037003
"RBM22",47.1261994243348,-2.39529156222454,0.732712789072462,-3.26907295457027,0.00107900477061338,0.165627232289154
"SLS",114.750769770912,2.28077250492679,0.704453402241371,3.2376485054512,0.00120519195992969,0.171760849880632
"gene3152",8.95665394701591,4.60334283202726,1.42586094743013,3.22846546875696,0.00124456283545521,0.171760849880632
"gene5976",5.69434140523341,-6.98550549522023,2.16558599275118,-3.22568834421845,0.00125670119107556,0.171760849880632
"gene10200",18.4068273765122,-2.79979048016244,0.869372248553564,-3.22047372091835,0.00127978925438168,0.171760849880632
"KCTD9",34.6139724262303,-2.78795978705749,0.869531314422892,-3.20627876283887,0.00134463657683468,0.171760849880632
"CDO1",22.7026143006642,2.99104951180261,0.934898665854348,3.19933017453744,0.00137747314691501,0.171760849880632
"gene8912",6.76567526365606,6.29506138069331,1.97264327920254,3.19118081158502,0.00141692576211893,0.171760849880632
"gene14224",12.2850336580008,3.72849934831748,1.17265897666009,3.1795256954727,0.00147516289976631,0.171760849880632
