"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Vg",12.2710826013146,9.35261651866859,1.71685677465001,5.44752285500064,5.1076153929618e-08,2.69075196143738e-05
"gene4400",6.58825870500181,8.44693524337249,3.67753191117417,2.29690331651685,0.0216242857607379,0.220453741257042
"Cht6",6.18304722419863,8.29928904538525,5.00207753233006,1.65916841387288,0.0970818604924293,NA
"CBS",38.1174388271302,8.17218484656582,1.37792350229932,5.93079719805131,3.01467379779764e-09,3.68694605470651e-06
"gene5361",5.12529525501601,8.01363538344177,4.05935337691238,1.97411622969792,0.0483685283178789,NA
"gene12505",4.96617483239262,7.92684174642209,2.07929536727198,3.81227307634606,0.000137694626835052,NA
"gene5842",4.38231753527016,7.85064601988983,5.00378269225979,1.56894223884538,0.116661398580237,NA
"gene7394",3.50417609078867,7.61509465108479,2.57541856712232,2.95683767613495,0.00310811695550915,NA
"gene3604",3.13449018840058,7.61229890959503,5.00492613127443,1.52096129092252,0.128269551548643,NA
"gene11071",3.07631286961769,7.61228558584035,5.00492620056033,1.52095860773893,0.128270224927654,NA
"gene13752",3.07631286961769,7.61228558584035,5.00492620056033,1.52095860773893,0.128270224927654,NA
"gene2484",3.88853765312262,7.56954421130655,2.30596909110606,3.28258702187366,0.00102859232489821,NA
"gene1015",2.92768334139869,7.54264306707868,5.00529709578393,1.50693214063797,0.131828052025564,NA
"gene13079",6.60573319280104,7.40813813341984,1.83715643987454,4.03239374319465,5.52115808600184e-05,0.00413410796276342
"gene6657",4.5312396983052,7.38646885991671,5.00619596345062,1.4754653860624,0.140087467590175,NA
"gene670",4.47838673275429,7.34121489549308,4.01092729498107,1.83030365688235,0.0672045448733671,NA
"gene6305",5.21911350264025,7.32228862188516,2.29423941764864,3.19159742682381,0.00141488384411163,NA
"gene12814",4.09142401593677,7.3209155135968,1.97804744210153,3.70108186374887,0.000214682195477904,NA
"gene12262",3.17737662384862,7.31319206563279,2.74278795456163,2.66633519863245,0.00766831928509959,NA
"Tdc2",2.83556159331126,7.27902171958412,2.54198140227172,2.86352280668891,0.00418958652030119,NA
"gene2214",3.40663118400546,7.19333676633801,5.00744872618031,1.43652729357553,0.150852355633732,NA
"gene4083",3.08842366309916,7.19333502654319,5.00744873823654,1.43652694267549,0.150852455407465,NA
"gene3790",2.80806108653607,7.1933030784466,5.00744895944747,1.43652049910067,0.150854287560743,NA
"gene5375",2.29495975176633,7.17948023577142,3.96502796159131,1.81070103548275,0.0701871424926856,NA
"gene5523",2.29495975176633,7.17948023577142,3.96502796159131,1.81070103548275,0.0701871424926856,NA
"Snmp1",2.22522132166503,7.1337990999128,4.02244629844348,1.77349766053391,0.0761462792038338,NA
"gene10093",6.52316523262057,7.12735381626665,1.95256713326861,3.65024776604501,0.000261987471411437,0.0117562386621585
"gene7358",2.3760586602965,7.10743421877869,3.31497570273818,2.14403810347928,0.032029833843767,NA
"gene13856",4.58366239575141,7.10483484977054,2.02740888999337,3.50439168183472,0.000457651701884534,NA
"gene78",3.47596968552923,7.09990118863655,2.15254398474269,3.29837682247653,0.000972455356371009,NA
"gene12305",2.71608886260898,7.09533405387759,5.00815041103594,1.41675737977884,0.156553874491843,NA
"RAB3GAP1",2.93207656952352,7.07445300307839,2.91291028163896,2.42865461654312,0.0151549616654909,NA
"gene2631",2.09344302790117,7.04395446120901,4.18916826492111,1.68146849583319,0.0926719507685858,NA
"gene4585",3.62836884218081,7.02783805064148,2.64026880038622,2.66178884877685,0.00777266198004702,NA
"gene1987",2.54028081573409,7.02142344886184,5.00871146534766,1.40184226970129,0.16096235285712,NA
"gene14399",2.39716146325725,7.02137173733188,5.00871186793376,1.401831832708,0.160965470233145,NA
"MCM10.1",2.11227821298797,6.99530905594412,3.38470249439908,2.06674266572019,0.0387584085514978,NA
"gene8009",2.0268268302304,6.99258420221301,3.65325060273067,1.91407186711645,0.0556109736076099,NA
"gene6579",5.48298967034399,6.99190078598779,2.28216895397538,3.06370865917196,0.00218611692698823,NA
"gene2372",6.24064706155631,6.978945926399,2.09140294112883,3.33696859134765,0.000846975191028573,NA
"gene5031",3.45569429995467,6.92750941240243,2.23383122065288,3.10117852609193,0.0019275204139337,NA
"XPC.1",3.30769353466941,6.85317620840541,2.53638198359977,2.70194956939373,0.00689342171507429,NA
"gene13491",2.90212512725731,6.84376390711141,2.47255565949481,2.76789073719365,0.00564203675254323,NA
"gene13580",1.81711015521403,6.8433775325897,4.29952693787603,1.59165825251704,0.111461513472199,NA
"gene11006",2.86115134091571,6.8263994673753,5.01033468873704,1.36246376568828,0.173051571811879,NA
"NKRF",2.49099127791027,6.82624716360864,5.01033604227126,1.36243299970638,0.173061275300238,NA
"gene2900",2.65960741051797,6.82622498691746,5.01033623940107,1.36242851991376,0.173062688245856,NA
"gene11844",1.79451584061032,6.82573227455355,4.96614345442629,1.37445330308971,0.169300997866666,NA
"gene2645",1.79451584061032,6.82573227455355,4.96614345442629,1.37445330308971,0.169300997866666,NA
"gene7443",1.79451584061032,6.82573227455355,4.96614345442629,1.37445330308971,0.169300997866666,NA
"gene9856",1.74737172511273,6.78533855329954,4.37110577990266,1.55231625473283,0.120586570446505,NA
"E75.1",1.93509203642777,6.74822814127671,3.90636152410441,1.72749708383016,0.0840784284570314,NA
"gene13778",6.50493474277527,6.70932388637079,3.55262440758165,1.88855423952288,0.0589515835896441,0.361694582258201
"gene12179",12.4313353832403,6.69577033560181,1.68860070808932,3.96527746525594,7.33106195648059e-05,0.00517262813813986
