"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene13167",19.8908256742791,6.93488702118738,3.3390898285843,2.07687944236218,0.0378126875862651,1
"gene13843",1.63205932257352,-6.43728104727784,3.3033983264217,-1.94868447918929,0.0513331164340136,1
"CES5A-1",5.04164604840291,6.37828951698805,2.10744214907184,3.02655497319211,0.00247357837765147,1
"gene670",4.47838673275429,-6.34262092548552,4.00734798210753,-1.58274773086959,0.113478974473698,1
"gene11830",6.24534723929492,6.23048113827043,2.06663369985572,3.01479702895845,0.00257151279962095,1
"gene6967",6.65470061892265,-6.16695694617822,2.22451542547992,-2.77226980561295,0.00556668758211033,1
"RMND1.1",3.62550957512146,6.11254416992023,2.01490943779321,3.03365702461292,0.00241608937833054,1
"gene6294",3.1656917876558,-6.09791788628529,2.16497953513164,-2.81661687204564,0.00485323817211719,1
"FBXL14",3.87102944885135,-6.07859056703711,2.27131883102196,-2.67623835280849,0.00744536744376907,1
"gene8970",7.81191281809464,6.05904862847802,2.08724324628087,2.90289530905143,0.00369730210950631,1
"DHRS11",1.75126106315636,6.02170507505113,2.53395795262476,2.37640291892517,0.0174823611109786,1
"gene9906",2.89065706139571,-5.97944484759235,2.52064297455867,-2.37219031332244,0.0176829798946962,1
"gene11573",1.70040939533232,-5.96902857788796,2.89388895381523,-2.06263221331231,0.0391475847561541,1
"gene6376",3.17084791785222,-5.90637254063395,2.80235329676535,-2.10764736461011,0.0350615033521403,1
"gene9020",3.43074710478146,-5.90512593035858,2.09294762302624,-2.82143989911235,0.00478085948398573,1
"gene2512",4.86873144503537,-5.8984972701492,2.2487811186032,-2.62297527373984,0.00871655983067721,1
"gene208",1.22446642777894,5.86043483456312,4.56023580599971,1.28511662200731,0.198751533892691,1
"gene4143",3.04780104742304,-5.8601335557808,2.32801276937773,-2.51722569260098,0.0118283033658288,1
"gene5615",2.67448975276884,-5.85430671288793,2.40757880290914,-2.4316158232553,0.0150316414952561,1
"GGA1",1.27337266990413,-5.83883650670423,3.35743988866132,-1.73907402673776,0.082021742617454,1
"GATAD",2.22075344058229,-5.81955496630193,2.81555819063292,-2.06692761160576,0.0387409754954178,1
"PRKDC",0.934035053456454,-5.75914841842224,4.46925709194552,-1.28861425958273,0.197532223542069,1
"SRP9",2.07233583681146,-5.72872815162631,2.90475890920777,-1.97218713521004,0.0485882477248698,1
"MED27",1.51669895450438,-5.70937934195541,2.65130760737491,-2.15342019389758,0.0312856699392539,1
"WDFY2",0.814482462960474,-5.70102735647187,5.00711815548867,-1.13858454692597,0.254876476762657,1
"CHAC1",1.44329107564395,-5.69230156154466,3.47175437711837,-1.63960376893638,0.101087578950345,1
"gene9871",0.962455196156921,5.69105225205022,5.00456147494956,1.13717301316747,0.255465966185337,1
"gene2256",1.32167819206073,5.68998013840804,4.55397694669539,1.24945299570236,0.211499435322535,1
"DNA2",3.14097472979329,5.68321408488005,2.25415044254879,2.5212221764817,0.0116947985150053,1
"NUS1",1.99839348729325,5.67991098447824,2.74717275538644,2.06754779922068,0.0386825650419557,1
"gene13206",3.44095041624206,5.67499577578095,2.26636888154279,2.50400357240953,0.012279679430626,1
"SLC25A36",1.72818067019624,5.66456897154421,2.40650297752573,2.35385911608898,0.0185796513990152,1
"gene6715",1.30428579003582,-5.6581892378854,3.38034903735953,-1.67384763388373,0.0941605480089015,1
"gene10092",1.87253440370327,5.65460709305254,2.93197881109936,1.9285975299843,0.0537808459265466,1
"gene5669",7.91210026572134,5.64742504139687,4.31481566005571,1.30884503217084,0.19058684936694,1
"gene6305",5.21911350264025,-5.64618514020486,2.29623544059217,-2.45888772570673,0.0139368195090369,1
"gene9337",1.74709346246594,-5.63704525795691,2.57448549558291,-2.18958128434924,0.0285546175717747,1
"gene3849",5.41522645464664,5.63540880941268,2.05262349087967,2.74546639188932,0.00604249561518564,1
"gene4068",1.23765769495209,-5.63090651357506,3.9560320127193,-1.42337233254705,0.154628248586736,1
"gene9321",0.987373553349319,5.61277980228734,5.00494992343782,1.12144574634066,0.262098172948,1
"CWC27",2.09657665099751,-5.56503279765685,2.44599863744459,-2.27515776683785,0.0228964673482855,1
"PCK1-2",2.40323890498763,5.56143483361232,5.00521601709273,1.11112783436721,0.266513328434608,1
"gene6599",2.80669359417563,-5.54525995202292,3.01142878766925,-1.84140497518282,0.065562234275847,1
"gene8377",2.43968177944559,5.5148614348233,2.60354087739602,2.11821580475398,0.0341567952762368,1
"gene13778",6.50493474277527,-5.50309521905866,3.54849672989367,-1.55082437379717,0.120943777835106,1
"MRPL48",1.23215312217218,-5.48351497216508,3.6258667683157,-1.5123321739459,0.130449380051948,1
"gene13096",1.16757955324354,-5.48233052429009,3.0546860778527,-1.794727963714,0.0726970529301028,1
"gene14273",3.01326080608248,-5.47756096473794,5.00871163655439,-1.09360677200137,0.274127477879923,1
"gene1635",0.802735470546636,-5.47755866216213,5.00871145860058,-1.09360635114177,0.27412766254066,1
"gene12801",2.85608449634199,5.46009882803205,2.10115187588276,2.59862168494512,0.00935988642885814,1
"NTPCR",0.810488586237407,5.44221833357867,5.00587270199823,1.08716674545205,0.276963124496813,1
"gene8277",0.810488586237407,5.44221833357867,5.00587270199823,1.08716674545205,0.276963124496813,1
"gene6154",2.11411022658543,-5.42448157804653,2.67312933950609,-2.02926266899184,0.0424315434740599,1
"chs-2",8.67335622183489,5.42083441541055,2.06723612825678,2.62226184097399,0.00873482932924466,1
"gene8439",1.35411782174302,5.41807616086235,3.5750698799048,1.51551615573082,0.12964174213881,1
"gene2326",1.40529048638214,5.37964468764976,3.65809094025331,1.47061534978604,0.141395170397587,1
"SECISBP2L",0.985535888623853,5.37542370531608,3.493195079441,1.53882722924718,0.123846480484317,1
"gene746",2.34824541191113,-5.35828532637803,2.85745608880786,-1.87519428465252,0.0607660001630362,1
"gene1125",1.70974171058478,-5.35098969699581,2.76644987276361,-1.93424422747639,0.0530831069261006,1
"gene1683",0.668391884542501,-5.32317449116351,5.00996486855117,-1.06251732912908,0.288000895263805,1
"gene14683",1.16616740248513,5.26716856722881,3.40204549085743,1.54823578384935,0.121565538907331,1
"Vg",12.2710826013146,-5.26287671367008,1.74684408405688,-3.012791331352,0.00258856841563784,1
"gene1799",1.18424068732211,5.26257162833311,3.65039453510096,1.44164461614491,0.149402655124443,1
"CPEB2",1.04537152502532,5.25655619743808,3.22626089945673,1.6293028869188,0.10324891532157,1
"gene9559",0.778915943059026,5.24874852851591,5.00705952875381,1.04826964775916,0.294514389655845,1
