"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene5691",8.53087333363631,8.19636248141077,2.9358443013445,2.79182464739603,0.00524117509008852,0.0992380998878451
"gene12446",5.25395368495308,8.12519447372183,2.43193909742246,3.34103534185272,0.000834665976478036,0.0317544033717866
"gene12124",4.50315356291641,8.1186122116389,5.00389500519155,1.62245854543627,0.104705202332968,0.505444783673886
"gene1949",4.05198550966283,8.01089672021424,5.00438177784168,1.6007764946481,0.109426431509598,0.513124075277679
"gene2204",4.05198550966283,8.01089672021424,5.00438177784168,1.6007764946481,0.109426431509598,0.513124075277679
"gene11538",4.05738100578806,7.97949672248352,5.00453053120136,1.59445459923451,0.110834251757804,0.513295506788171
"gene4210",5.46298886487159,7.92625356824674,2.07723620498878,3.81576902482765,0.000135759452807897,0.00917448091607054
"gene9905",4.5913267430995,7.91099608312798,4.11321902878946,1.92331019276069,0.0544411052702893,0.373613663564395
"gene8941",3.74029431661184,7.89447137782629,5.00494975474076,1.57733279347081,0.114718970506608,0.516186739687247
"gene12566",3.84407938799526,7.89447137778651,5.00494975473876,1.57733279346349,0.114718970508291,0.516186739687247
"gene7860",3.90389816878845,7.8944713777649,5.00494975473768,1.57733279345951,0.114718970509206,0.516186739687247
"gene2512",4.86873144503537,7.80742492372116,2.24724740865383,3.47421689915221,0.000512346695915958,0.0230825669317926
"gene13778",6.50493474277527,7.79291107009382,3.54416683433055,2.19879916334859,0.0278922060284924,0.267967976151014
"gene4160",3.42860312356086,7.76782860455824,5.00562117602076,1.55182110899038,0.120705033628707,0.527609406567692
"gene10093",6.52316523262057,7.6595023128247,1.94815380842613,3.93167227335744,8.43570133247494e-05,0.00646653164829721
"gene9319",4.25503447596493,7.63598387697714,4.18809292300892,1.82326037586843,0.0682639645943671,0.417977211708988
"gene13892",3.11691193050987,7.62898308842907,5.00642723759141,1.52383780416219,0.12754923334098,NA
"gene7800",3.11691193050987,7.62898308842907,5.00642723759141,1.52383780416219,0.12754923334098,NA
"gene8212",3.11691193050987,7.62898308842907,5.00642723759141,1.52383780416219,0.12754923334098,NA
"gene13299",5.29308980039309,7.59892101582563,2.35806016899522,3.22253058498654,0.00127063599488784,0.0418654539820419
"gene5963",2.92132212503966,7.53549926907154,5.00701461376732,1.5049884712443,0.132327040765868,NA
"gene12200",3.62334926854198,7.52121527893419,2.50947684710499,2.99712479420199,0.00272539120884514,0.0666552821363267
"gene6984",2.86327143124927,7.50574476617872,5.0072095595739,1.49898754523416,0.133876863153558,NA
"gene2372",6.24064706155631,7.47808194974731,2.08727709907931,3.5826972628818,0.000340064637625623,0.0162340348033272
"gene953",2.80522073745888,7.47534481153471,5.00741285898966,1.49285569655285,0.135474964270304,NA
"gene11008",2.87793649046612,7.47534128287463,5.00741280065951,1.49285500925549,0.135475144218162,NA
"gene14311",3.8503525835183,7.46981892811834,4.37267472227957,1.7082951288506,0.0875815947060266,0.47003037660413
"gene4614",4.29294459998547,7.42329514482231,2.67811435066982,2.77183651361477,0.00557410240582528,0.10335231031162
"gene3193",3.74813785174551,7.31951906331968,2.65471448259296,2.75717750866015,0.00583026918441223,0.106563211854595
"gene13485",2.4935295444079,7.3033872778811,5.00864551411535,1.45815615365446,0.144797506313516,NA
"gene6332",2.82527683082702,7.30336928273157,5.00864565079685,1.45815252104521,0.144798507366873,NA
"gene559",2.9266319372439,7.30336928272445,5.00864565079627,1.45815252104396,0.144798507367218,NA
"gene819",3.04433922553332,7.30336928269887,5.00864565079419,1.45815252103946,0.144798507368458,NA
"gene11764",3.29983556176496,7.30336905327647,5.00864565254135,1.45815247472553,0.144798520131415,0.570563511719215
"gene12199",2.66380067036542,7.30336633529439,5.00864543101377,1.45815199656011,0.14479865190187,NA
"gene1969",3.87102944885135,7.29669583846343,2.27866395686028,3.20218161896824,0.00136390976592848,0.0435319362101674
"gene6579",5.48298967034399,7.25661725239587,2.28180068653105,3.18021521127153,0.00147165712904537,0.0449906608022443
"gene3695",4.31551891357524,7.21228350727303,4.9914543643837,1.44492626412373,0.148478598168601,0.577927368765406
"gene13528",3.23691445005535,7.19278159149353,2.70651252827689,2.65758296565981,0.00787032159617947,0.131307423307382
"gene4425",2.57103404359612,7.16445444365863,5.00975222705193,1.43010155371989,0.152687874347948,NA
"gene11170",2.47981282178257,7.10808463903134,5.01023153415095,1.41871380405894,0.155982471089989,NA
