"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene1036",16.6802498535709,-9.70317245173949,3.56681298192034,-2.72040404162581,0.00652021929951595,0.175468910529451
"gene7414",14.3223531031257,-9.62072089919341,5.62121239090783,-1.71150282717562,0.086988329728933,0.555738467869086
"gene8971",13.0603813036588,-8.61002868056549,2.33145561906719,-3.69298416412076,0.000221637829691396,0.0394736863094664
"gene5318",6.3812580912676,-8.48741321516853,5.62456458453804,-1.50899026717561,0.131301270038483,NA
"gene9666",6.85978522041255,-8.48740887001606,5.62456460305768,-1.50898948967571,0.131301468732679,NA
"gene12834",10.0631490904231,-8.42340019702607,2.31166725593574,-3.64386361203025,0.000268575777031223,0.0394736863094664
"gene1814",22.4483637401922,-8.33259379946231,2.52958786961784,-3.29405192819855,0.000987542526259041,0.0733237966979471
"gene6820",5.527936809462,-8.2937046738776,5.62544808007402,-1.4743189441664,0.140395736869312,NA
"gene14601",5.75151468594574,-8.29370271946718,5.6254480895953,-1.47431859424799,0.140395831039225,NA
"gene2140",5.83615280741228,-8.24912588720072,2.53569104431242,-3.25320622388268,0.00114110649701906,NA
"gene13874",5.19027353952804,-8.18613460956516,5.62599204794849,-1.45505619983061,0.145653703591272,NA
"gene11617",6.43750350899667,-8.14404780157567,2.72278025164004,-2.99107788690262,0.00277994578474044,NA
"gene6127",46.1662898190574,-8.0808445886546,1.69423216748252,-4.76962056544,1.84573247838593e-06,0.0014032181166929
"gene12077",4.63026596137557,-8.06989643097802,5.62662692632321,-1.43423342913041,0.151505660371471,NA
"gene7973",4.63026596137557,-8.06989643097802,5.62662692632321,-1.43423342913041,0.151505660371471,NA
"gene3931",4.7983305314933,-8.06989643059457,5.62662692631986,-1.43423342906311,0.151505660390668,NA
"gene11273",4.80089961618853,-8.06989643051465,5.62662692631917,-1.43423342904908,0.15150566039467,NA
"gene8691",5.32902185268379,-8.06989643009087,5.62662692631547,-1.43423342897471,0.151505660415887,NA
"gene12255",6.48664260519338,-8.02024457082008,2.65702249424832,-3.0185083446533,0.00254022405903332,NA
"gene11089",4.80199523991337,-7.99574275802369,5.62705915468832,-1.42094521102765,0.155332688041217,NA
"gene5950",4.24441046459428,-7.94347350403882,5.6273775588586,-1.41157642631144,0.158074717599538,NA
"gene12578",4.48208440290075,-7.94347350349833,5.62737755885343,-1.41157642621669,0.158074717627453,NA
"gene4297",4.59650788002325,-7.94346633220612,5.62737749022121,-1.41157516907469,0.158075088008266,NA
"gene6206",4.17392891270904,-7.92146678922724,5.62751501997656,-1.40763138989547,0.159240247558162,NA
"gene5549",4.80499371930773,-7.9176418618994,5.62753912449116,-1.40694568029597,0.15944349666821,NA
"gene10156",5.27667495757574,-7.90685731314656,2.7041605845343,-2.92395997425879,0.00345609183740319,NA
