"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"gene5595",110.263976219601,-3.06015732384353,0.62053039128086,-4.93151885361641,8.15926909338161e-07,0.000306855948506129
"gene5743",62.9676939765038,-4.36814924632294,0.886476773889244,-4.92753941782201,8.32716278171313e-07,0.000306855948506129
"gene3099",277.267262597278,1.80757283664683,0.409144197302169,4.41793589782202,9.9647962787391e-06,0.00244801828581024
"gene1603",115.794565146864,2.17132831525433,0.576751062934741,3.76475823764545,0.000166710300922527,0.0307163729449756
"gene12595",8.67335622183489,8.25657969113425,2.21538724686503,3.7269239058851,0.000193830945984873,NA
"gene629",13.3821239083261,-7.40496947349812,2.05346674258563,-3.60608200752943,0.000310854934798364,NA
"gene103",510.34524650822,1.01203293543842,0.282338316922446,3.58446896783197,0.000337764718787685,0.0497865195493048
"gene11011",6.97216535996253,-7.20625293784312,2.07702057336008,-3.46951447196561,0.000521399976973305,NA
"gene6600",5.94813105795814,7.01895812546868,2.06633998353585,3.39680700242662,0.000681770331883084,NA
"gene11142",17.8299160896144,4.35404912601658,1.28312550735453,3.39331507405966,0.000690521644233632,NA
"gene11367",7.22070803988001,-8.05276162566064,2.40830337944223,-3.34374883762596,0.000826545308915055,NA
"gene12818",68.4914118194936,-2.2389060314426,0.671429778474569,-3.3345349033062,0.000854421767442467,0.091516436489596
"gene10616",41.6310994026397,-2.23311701725782,0.672283667698963,-3.32168863316456,0.000894744796551233,NA
"gene3142",24.8670435679187,-3.17240242565615,0.957123049931889,-3.31451888645029,0.000918009780930378,NA
"gene12771",112.943555218289,-3.15730930657616,0.954633323198504,-3.30735291745062,0.000941821557240412,0.091516436489596
"gene9480",30.0454451372444,-3.30677939493738,1.00065059275884,-3.30462942696156,0.000951020536294013,NA
"gene8627",181.538355415711,-1.75178394780564,0.532070454604846,-3.29239094680918,0.000993394154568206,0.091516436489596
"gene12107",36.5113469168832,2.81465030223046,0.860281891819196,3.27177676177568,0.0010687392747134,NA
"gene4442",5.22099317133595,-7.37046803160282,2.25609602118659,-3.26691238421951,0.0010872732448941,NA
"gene10202",21.0732134068305,-3.1570078379759,0.968534531478778,-3.25957179157641,0.00111580537168361,NA
"gene9751",20.9480227627002,-3.32754767468768,1.0221501975024,-3.25543905662637,0.00113217191771771,NA
"gene13133",49.4133448047429,-2.77095272154841,0.860777022990529,-3.21912951616844,0.00128580395138323,0.0970993250695497
"gene3875",46.4100669069554,-2.74511906188356,0.855096319631805,-3.21030391414335,0.00132594699878555,0.0970993250695497
"gene2337",46.0036359994828,2.0113592850771,0.631577478023074,3.18465961036632,0.00144924365775447,0.0970993250695497
"gene7941",4.91789878232002,-7.23693292762358,2.30743479286161,-3.13635425365523,0.00171062437498993,NA
"gene11676",54.6489021643951,-1.4994180236792,0.47862104962199,-3.13278746278173,0.00173154776449999,0.106345891869708
"gene2401",14.7391431599985,-4.54566703701893,1.45483640653155,-3.1245210915887,0.00178094753491531,NA
"gene8987",6.44501944342609,-6.63027040062284,2.1326739008375,-3.10890023928137,0.00187785112240713,NA
"gene9127",34.3016458099261,1.76454119860789,0.573665278427227,3.0759072667699,0.00209863103869442,NA
"gene2756",38.5315594614097,-2.5691323338978,0.841872676040865,-3.05168751405479,0.00227558864692963,NA
"gene1685",11.4922758031803,3.77823419917073,1.24986790212532,3.02290681498907,0.00250359323166205,NA
"gene3995",233.862266195799,-1.75849421967247,0.590353817425469,-2.97871237174557,0.00289462357983231,0.139465168017831
"gene4501",44.27129953562,-2.28930086620168,0.769275287044443,-2.97591890023814,0.0029211209999848,0.139465168017831
"gene2838",121.530073102643,-1.62327892765636,0.547226126161688,-2.96637687795032,0.00301330984863994,0.139465168017831
"gene13523",51.2699513776152,-2.28455501022316,0.773970383399695,-2.95173440640992,0.00315994600339503,0.139465168017831
"gene7648",170.257438724019,-2.69865238122856,0.915975172760743,-2.94620690765541,0.00321697131113044,0.139465168017831
"gene7005",46.9054699937539,-2.15694808369699,0.742119542467691,-2.90646986134433,0.00365532110001736,0.144993217161841
"gene3981",34.2143952849063,2.07570622870048,0.71597205845557,2.89914418333308,0.00374182780622207,NA
