Sample	total_reads	CulexT counts	CulexT percentage	CulexQ counts	CulexQ percentage	Human counts	Human percentage	WNV counts	WNV percentage	Adapters counts	Adapters percentage	No hits counts	No hits percentage
22_WNV_A.R1	60971523	32305599.0	52.980000000000004	24296179.0	39.84	3842794.0	6.3	805510.0	1.32	2691202.0	4.41	27339630	44.84
22_WNV_A.R2	60971523	32365894.0	53.089999999999996	24356553.0	39.95	1975733.0	3.25	798015.0	1.31	282084.0	0.46	27296950	44.77
22_WNV_B.R1	64672919	35038367.0	54.19	25159042.0	38.9	3356725.0	5.18	1024756.0	1.58	2598991.0	4.0200000000000005	28384944	43.89
22_WNV_B.R2	64672919	35100225.0	54.28	25224784.0	39.0	1515932.0	2.33	1016308.0	1.57	200662.0	0.31	28339673	43.82
22_WNV_C.R1	72981213	32158271.0	44.07	22340754.0	30.62	5217636.0	7.15	1405598.0	1.92	4308400.0	5.890000000000001	39125228	53.61
22_WNV_C.R2	72981213	32250159.0	44.19	22361941.0	30.65	2171089.0	2.96	1391359.0	1.9	390456.0	0.53	39052247	53.51
22_mock_A.R1	25581774	21943649.0	85.78	17930559.0	70.1	1090070.0	4.26	4909.0	0.02	498072.0	1.95	3371677	13.18
22_mock_A.R2	25581774	21953811.0	85.81	17946547.0	70.16	768236.0	3.0100000000000002	4815.0	0.02	57224.0	0.22	3361445	13.14
22_mock_B.R1	39692930	19843480.0	49.99	15493034.0	39.03	4804589.0	12.100000000000001	1280.0	0.0	2688906.0	6.77	18179361	45.8
22_mock_B.R2	39692930	19936442.0	50.22	15546247.0	39.16	2954745.0	7.45	1219.0	0.0	246811.0	0.6200000000000001	18092037	45.58
22_mock_C.R1	17324849	8557745.0	49.4	7774197.0	44.88	7610577.0	43.93	1073.0	0.01	5687899.0	32.83	7371723	42.55
22_mock_C.R2	17324849	8596615.0	49.62	7842441.0	45.28	3427440.0	19.79	1025.0	0.01	523569.0	3.02	7337073	42.35
26_WNV_A.R1	63244835	9544628.0	15.09	6522752.0	10.32	884808.0	1.4	1478131.0	2.33			52094770	82.37
26_WNV_A.R2	63244835	9736499.0	15.39	6715597.0	10.63	633828.0	1.0	1468686.0	2.32			51911360	82.08
26_WNV_B.R1	23333324	11355268.0	48.660000000000004	10275538.0	44.04	8921170.0	38.230000000000004	339957.0	1.45	7056205.0	30.24	10481329	44.92
26_WNV_B.R2	23333324	11384048.0	48.79	10240768.0	43.89	3644812.0	15.620000000000001	329935.0	1.41	527110.0	2.2600000000000002	10467329	44.86
26_WNV_C.R1	29701032	6516427.0	21.94	4956640.0	16.7	1919768.0	6.470000000000001	759515.0	2.56			21833228	73.51
26_WNV_C.R2	29701032	6567383.0	22.11	5000209.0	16.84	1144553.0	3.8600000000000003	752932.0	2.53			21788677	73.36
26_mock_A.R1	47867553	24507033.0	51.2	18548176.0	38.75	1976243.0	4.13	6580.0	0.01			23076947	48.21
26_mock_A.R2	47867553	24618906.0	51.43000000000001	18670590.0	39.0	1235340.0	2.58	6603.0	0.01			22962065	47.97
26_mock_B.R1	36389513	22001864.0	60.47	17686848.0	48.61	7174000.0	19.71	1589.0	0.0			14031796	38.56
26_mock_B.R2	36389513	22095699.0	60.71	17726698.0	48.72	2789874.0	7.67	1528.0	0.0			13940822	38.31
26_mock_C.R1	17380011	11354455.0	65.34	10202295.0	58.7	10514640.0	60.5	2085.0	0.01			3948738	22.72
26_mock_C.R2	17380011	11366993.0	65.4	10101289.0	58.120000000000005	4811051.0	27.68	2053.0	0.01			3945262	22.7
30_WNV_A.R1	60851623	45332177.0	74.5	35137114.0	57.730000000000004	5959846.0	9.790000000000001	200789.0	0.33			14689581	24.14
30_WNV_A.R2	60851623	45402911.0	74.61	35135100.0	57.74	2866437.0	4.7	199707.0	0.33			14628730	24.04
30_WNV_B.R1	26065856	16213523.0	62.2	12660688.0	48.57	1396816.0	5.35	345019.0	1.32			9261198	35.53
30_WNV_B.R2	26065856	16230025.0	62.27	12664167.0	48.58	802034.0	3.0700000000000003	342241.0	1.31			9248165	35.48
30_WNV_C.R1	41433576	28033354.0	67.65	21740594.0	52.47	2492642.0	6.01	460203.0	1.11			12728394	30.72
30_WNV_C.R2	41433576	28058131.0	67.72	21743190.0	52.480000000000004	1349753.0	3.25	452893.0	1.09			12711821	30.68
30_mock_A.R1	23407191	15762369.0	67.34	12898973.0	55.1	5135651.0	21.939999999999998	30140.0	0.13			5875204	25.1
30_mock_A.R2	23407191	15790787.0	67.45	12939789.0	55.28	3050794.0	13.03	29834.0	0.13			5858819	25.03
30_mock_B.R1	36933624	33613364.0	91.01	26616556.0	72.06	6813090.0	18.439999999999998	701.0	0.0			2899289	7.85
30_mock_B.R2	36933624	33616300.0	91.03	26623978.0	72.08000000000001	2823559.0	7.640000000000001	683.0	0.0			2902982	7.86
30_mock_C.R1	68416408	57414752.0	83.92	43934142.0	64.22	6916458.0	10.110000000000001	430.0	0.0			10392452	15.19
30_mock_C.R2	68416408	57460113.0	83.97999999999999	43970423.0	64.27	3359311.0	4.92	415.0	0.0			10344560	15.12
