Cxt gtf location,contig,interval ,Gene symbol
gene4915,tig00003696,34162-34823,APOLP-III
gene4915,tig00003696,34162-34823,APOLP-III
gene5021,tig00003882,72894-83291,GSTM2
gene1551,tig00000551,155474-156773,LOC6047835
gene8842,tig00011758,922-6142,GCAT
gene275,tig00000046,324339-324623,LOC6047003
gene14467,tig00335170,32062-33571,ANP32B
gene10316,tig00016191,4811-5744,RPS20
gene8832,tig00011747,3619-4758,ELOF1
gene5148,tig00003979,71021-71499,RPS21
gene5171,tig00003989,38948-39512,RPS27
gene8006,tig00009428,9391-14641,RPSL21
gene9338,tig00012703,30049-31429,RPSL4
gene4368,tig00002977,46301-49172,EIF3S8
gene4368,tig00002977,46301-49172,EIF3C
gene10718,tig00017351,7496-7708,RPL38
gene7763,tig00008620,49055-49387,RPL21
gene5559,tig00004577,40600-41256,RPLP1
gene5559,tig00004577,40600-41256,RPLP1
gene8398,tig00009979,30773-31344,RPS10
gene8398,tig00009979,30773-31344,
gene8398,tig00009979,30773-31344,
gene8398,tig00009979,30773-31344,
gene6002,tig00005361,24577-33060,RPL37
gene6002,tig00005361,24577-33060,RPL37A
gene4599,tig00003221,1317-1720,RPS29
gene2611,tig00001187,63473-63727,RPS26
gene4033,tig00002525,87537-87854,RPSL26
gene1205,tig00000384,197313-198050,RPS16
gene1205,tig00000384,197313-198050,
gene9396,tig00012841,16650-19430,RPL3
gene9396,tig00012841,16650-19430,RPL3
gene9396,tig00012841,16650-19430,LOC124904363
,,,
gene6372,tig00005843,23086-23510,RPLP2
gene3557,tig00002021,76817-87128,ALGP
gene5028,tig00003883,68689-69185,RPL32
gene1966,tig00000776,13399-14135,RPL12
gene1874,tig00000745,28045-28494,RPS15
gene8441,tig00010083,24152-24812,RPL18
gene9334,tig00012701,1917-9632,RPS11
gene5026,tig00003883,61097-61528,RPS23
gene10723,tig00017370,12673-13370,RPL30
gene8892,tig00011833,12426-12734,RPL29
gene5805,tig00004837,31498-32376,RPL8
gene9592,tig00013324,6056-6502,RPL22
gene14559,tig00335287,7660-7932,RPL7A
gene6311,tig00005755,11611-12256,RPL18
gene6276,tig00005697,56013-65069,RPS30
gene6157,tig00005555,14028-14552,RPS25
gene4649,tig00003377,61866-65569,RPL34
gene8161,tig00009618,1528-1832,RPS14
gene8161,tig00009618,1528-1832,RPS14
gene8756,tig00011140,369-963,RPL18A
gene8183,tig00009648,19985-28703,RPS4
gene2361,tig00001024,147189-157469,RPS3
gene2010,tig00000797,45694-51552,RPL36a
gene3249,tig00001734,52015-52468,MRPS14
gene10730,tig00017396,4037-4384,RPL37A
gene9287,tig00012586,2282-9956,RPL14
gene5278,tig00004073,117977-118507,LLPH
gene9225,tig00012443,18867-25015,RPSA
gene4465,tig00003050,52144-52368,RPS17
gene1574,tig00000561,82637-84225,RPS6
gene2473,tig00001126,132634-133274,RPL9
gene8417,tig00010021,29881-32048,GTPBP1
gene13693,tig00033233,10106-15959,RPL31
